

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 09:52:43 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: ACE (spacecraft) (-92)          {source: ACE_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2006-Jul-02 00:01:10.1851 TDB
Stop  time      : A.D. 2023-Jul-25 00:01:09.1833 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2453918.500812327, A.D. 2006-Jul-02 00:01:10.1851,  2.616080003140582E+07, -1.483338176064954E+08,  1.372779034371674E+05,
2453921.500812327, A.D. 2006-Jul-05 00:01:10.1851,  3.351873759148591E+07, -1.468568993591505E+08,  1.427482231948525E+05,
2453924.500812327, A.D. 2006-Jul-08 00:01:10.1851,  4.079017264531739E+07, -1.450091395802793E+08,  1.466873317870721E+05,
2453927.500812327, A.D. 2006-Jul-11 00:01:10.1851,  4.795689559342642E+07, -1.427954490444119E+08,  1.490312129726484E+05,
2453930.500812327, A.D. 2006-Jul-14 00:01:10.1851,  5.500097566446351E+07, -1.402215777874609E+08,  1.497337448363677E+05,
2453933.500812327, A.D. 2006-Jul-17 00:01:10.1851,  6.190480206109044E+07, -1.372940885908233E+08,  1.487692507821843E+05,
2453936.500812327, A.D. 2006-Jul-20 00:01:10.1851,  6.865112732821880E+07, -1.340203467018335E+08,  1.461327845186815E+05,
2453939.500812327, A.D. 2006-Jul-23 00:01:10.1851,  7.522310434531288E+07, -1.304085243487689E+08,  1.418380888422430E+05,
2453942.500812327, A.D. 2006-Jul-26 00:01:10.1851,  8.160429508407855E+07, -1.264675960595572E+08,  1.359165359815508E+05,
2453945.500812327, A.D. 2006-Jul-29 00:01:10.1851,  8.777866180366477E+07, -1.222072777849395E+08,  1.284230204941258E+05,
2453948.500812327, A.D. 2006-Aug-01 00:01:10.1851,  9.373061919720443E+07, -1.176379715554309E+08,  1.194397904759347E+05,
2453951.500812327, A.D. 2006-Aug-04 00:01:10.1851,  9.944509537976336E+07, -1.127707914300231E+08,  1.090696788741723E+05,
2453954.500812327, A.D. 2006-Aug-07 00:01:10.1851,  1.049075445110715E+08, -1.076175747958603E+08,  9.743173323035240E+04,
2453957.500812327, A.D. 2006-Aug-10 00:01:10.1851,  1.101039526784386E+08, -1.021908574618433E+08,  8.466080507149547E+04,
2453960.500812327, A.D. 2006-Aug-13 00:01:10.1851,  1.150208532822700E+08, -9.650384081201532E+07,  7.090712162072212E+04,
2453963.500812327, A.D. 2006-Aug-16 00:01:10.1851,  1.196453564029788E+08, -9.057036423235880E+07,  5.633448890859634E+04,
