JDTB,Calendar Date,X,Y,Z
2459899.877, A.D. 2022-Nov-16 09:03:00.0000,-1.01E+04,1.23E+04,2.38E+03
2459900.127, A.D. 2022-Nov-16 15:03:00.0000,-8.83E+04,-2.80E+03,7.93E+03
2459900.377, A.D. 2022-Nov-16 21:03:00.0000,-1.33E+05,-2.09E+04,9.98E+03
2459900.627, A.D. 2022-Nov-17 03:03:00.0000,-1.68E+05,-3.75E+04,1.12E+04
2459900.877, A.D. 2022-Nov-17 09:03:00.0000,-1.96E+05,-5.28E+04,1.20E+04
2459901.127, A.D. 2022-Nov-17 15:03:00.0000,-2.20E+05,-6.68E+04,1.26E+04
2459901.377, A.D. 2022-Nov-17 21:03:00.0000,-2.40E+05,-7.99E+04,1.29E+04
2459901.627, A.D. 2022-Nov-18 03:03:00.0000,-2.58E+05,-9.19E+04,1.31E+04
2459901.877, A.D. 2022-Nov-18 09:03:00.0000,-2.73E+05,-1.03E+05,1.32E+04
2459902.127, A.D. 2022-Nov-18 15:03:00.0000,-2.86E+05,-1.14E+05,1.32E+04
2459902.377, A.D. 2022-Nov-18 21:03:00.0000,-2.98E+05,-1.23E+05,1.31E+04
2459902.627, A.D. 2022-Nov-19 03:03:00.0000,-3.07E+05,-1.32E+05,1.29E+04
2459902.877, A.D. 2022-Nov-19 09:03:00.0000,-3.16E+05,-1.40E+05,1.27E+04
2459903.127, A.D. 2022-Nov-19 15:03:00.0000,-3.23E+05,-1.48E+05,1.24E+04
2459903.377, A.D. 2022-Nov-19 21:03:00.0000,-3.28E+05,-1.55E+05,1.20E+04
2459903.627, A.D. 2022-Nov-20 03:03:00.0000,-3.33E+05,-1.61E+05,1.17E+04
2459903.877, A.D. 2022-Nov-20 09:03:00.0000,-3.36E+05,-1.66E+05,1.13E+04
2459904.127, A.D. 2022-Nov-20 15:03:00.0000,-3.38E+05,-1.71E+05,1.09E+04
2459904.377, A.D. 2022-Nov-20 21:03:00.0000,-3.39E+05,-1.75E+05,1.04E+04
2459904.627, A.D. 2022-Nov-21 03:03:00.0000,-3.39E+05,-1.77E+05,1.00E+04
2459904.877, A.D. 2022-Nov-21 09:03:00.0000,-3.39E+05,-1.78E+05,9.68E+03
2459905.127, A.D. 2022-Nov-21 15:03:00.0000,-3.23E+05,-1.75E+05,8.38E+03
2459905.377, A.D. 2022-Nov-21 21:03:00.0000,-2.95E+05,-1.97E+05,5.07E+03
2459905.627, A.D. 2022-Nov-22 03:03:00.0000,-2.71E+05,-2.19E+05,2.06E+03
2459905.877, A.D. 2022-Nov-22 09:03:00.0000,-2.47E+05,-2.40E+05,-8.04E+02
2459906.127, A.D. 2022-Nov-22 15:03:00.0000,-2.24E+05,-2.59E+05,-3.57E+03
2459906.377, A.D. 2022-Nov-22 21:03:00.0000,-2.00E+05,-2.77E+05,-6.25E+03
2459906.627, A.D. 2022-Nov-23 03:03:00.0000,-1.77E+05,-2.93E+05,-8.86E+03
2459906.877, A.D. 2022-Nov-23 09:03:00.0000,-1.52E+05,-3.08E+05,-1.14E+04
2459907.127, A.D. 2022-Nov-23 15:03:00.0000,-1.28E+05,-3.22E+05,-1.38E+04
2459907.377, A.D. 2022-Nov-23 21:03:00.0000,-1.03E+05,-3.34E+05,-1.61E+04
2459907.627, A.D. 2022-Nov-24 03:03:00.0000,-7.88E+04,-3.44E+05,-1.79E+04
2459907.877, A.D. 2022-Nov-24 09:03:00.0000,-5.41E+04,-3.53E+05,-2.01E+04
2459908.127, A.D. 2022-Nov-24 15:03:00.0000,-2.95E+04,-3.60E+05,-2.22E+04
2459908.377, A.D. 2022-Nov-24 21:03:00.0000,-5.00E+03,-3.66E+05,-2.42E+04
2459908.627, A.D. 2022-Nov-25 03:03:00.0000,1.92E+04,-3.71E+05,-2.60E+04
2459908.877, A.D. 2022-Nov-25 09:03:00.0000,4.31E+04,-3.74E+05,-2.78E+04
2459909.127, A.D. 2022-Nov-25 15:03:00.0000,6.66E+04,-3.76E+05,-2.94E+04
2459909.377, A.D. 2022-Nov-25 21:03:00.0000,8.96E+04,-3.76E+05,-3.09E+04
2459909.627, A.D. 2022-Nov-26 03:03:00.0000,1.11E+05,-3.78E+05,-3.23E+04
2459909.877, A.D. 2022-Nov-26 09:03:00.0000,1.32E+05,-3.78E+05,-3.37E+04
2459910.127, A.D. 2022-Nov-26 15:03:00.0000,1.52E+05,-3.77E+05,-3.49E+04
