*******************************************************************************
JPL/HORIZONS               Catalina (P/1999 XN120)         2023-Mar-07 22:54:21
Rec #:90002513 (+COV) Soln.date: 2021-Apr-15_23:30:03     # obs: 75 (1999-2000)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2451552.5 ! 2000-Jan-09.0000000 (TDB)    RMSW= n.a.
   EC= .2139062792844382   QR= 3.286320816340474   TP= 2451665.8346636244
   OM= 285.4698148804891   W= 161.7748703779777    IN= 5.028371372514552
   A= 4.180571259809857    MA= 346.9318717491215   ADIST= 5.074821703279239
   PER= 8.5479436029875    N= .115305661           ANGMOM= .034358089
   DAN= 5.00648            DDN= 3.31563            L= 87.31021440000001
   B= 1.5708097            MOID= 2.30281997        TP= 2000-May-01.3346636244
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= n.a.
   M1=  9.9      M2=  13.7     k1=  10.    k2=  5.      PHCOF=  .030
 
COMET comments 
1: soln ref.= JPL#40, data arc: 1999-11-03 to 2000-03-30
2: k1=10., k2=5., phase coef.=0.03;
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Mar  7 22:54:21 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Catalina (P/1999 XN120)         {source: JPL#40}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2001-Aug-10 00:00:00.0000 UT      
Stop  time      : A.D. 2008-Aug-10 00:00:00.0000 UT      
Step-size       : 180 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ICRF
Center radii    : undefined                                                    
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.230306.p230530                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAR-06. PREDICTS-> 2023-MAY-29
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2451552.5 ! 2000-Jan-09.0000000 (TDB)    RMSW= n.a.                  
   EC= .2139062792844382   QR= 3.286320816340474   TP= 2451665.8346636244      
   OM= 285.4698148804891   W= 161.7748703779777    IN= 5.028371372514552       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.304656928188019E+00  Y= 2.726922557064128E+00  Z= 1.380899813079959E+00
  VX=-9.721397168510011E-03 VY= 3.504830383889894E-03 VZ= 7.104962836741240E-04
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= n.a.                                           
   M1=  9.9      M2=  13.7     k1=  10.    k2=  5.      PHCOF=  .030           
*******************************************************************************
 Date__(UT)__HR:MN, , ,            delta,     deldot,  Tru_Anom,
****************************************************************
$$SOE
 2001-Aug-10 00:00, , , 3.79711870026228,  3.0905543,   76.4449,
 2001-Aug-10 03:00, , , 3.79734182377561,  3.0907691,   76.4620,
 2001-Aug-10 06:00, , , 3.79756496278415,  3.0909836,   76.4790,
 2001-Aug-10 09:00, , , 3.79778811726641,  3.0911978,   76.4960,
 2001-Aug-10 12:00, , , 3.79801128720093,  3.0914117,   76.5131,
 2001-Aug-10 15:00, , , 3.79823447256622,  3.0916253,   76.5301,
 2001-Aug-10 18:00, , , 3.79845767334082,  3.0918386,   76.5471,
 2001-Aug-10 21:00, , , 3.79868088950326,  3.0920516,   76.5641,
 2001-Aug-11 00:00, , , 3.79890412103209,  3.0922643,   76.5812,
 2001-Aug-11 03:00, , , 3.79912736790585,  3.0924767,   76.5982,
 2001-Aug-11 06:00, , , 3.79935063010311,  3.0926888,   76.6152,
 2001-Aug-11 09:00, , , 3.79957390760241,  3.0929006,   76.6322,
 2001-Aug-11 12:00, , , 3.79979720038234,  3.0931121,   76.6492,
 2001-Aug-11 15:00, , , 3.80002050842145,  3.0933233,   76.6662,
 2001-Aug-11 18:00, , , 3.80024383169833,  3.0935343,   76.6832,
 2001-Aug-11 21:00, , , 3.80046717019157,  3.0937449,   76.7003,
 2001-Aug-12 00:00, , , 3.80069052387974,  3.0939552,   76.7173,
 2001-Aug-12 03:00, , , 3.80091389274146,  3.0941653,   76.7343,
 2001-Aug-12 06:00, , , 3.80113727675531,  3.0943750,   76.7513,
 2001-Aug-12 09:00, , , 3.80136067589991,  3.0945844,   76.7683,
 2001-Aug-12 12:00, , , 3.80158409015386,  3.0947936,   76.7853,
 2001-Aug-12 15:00, , , 3.80180751949580,  3.0950024,   76.8023,
 2001-Aug-12 18:00, , , 3.80203096390433,  3.0952110,   76.8193,
 2001-Aug-12 21:00, , , 3.80225442335809,  3.0954193,   76.8362,
 2001-Aug-13 00:00, , , 3.80247789783573,  3.0956272,   76.8532,
 2001-Aug-13 03:00, , , 3.80270138731587,  3.0958349,   76.8702,
 2001-Aug-13 06:00, , , 3.80292489177717,  3.0960423,   76.8872,
 2001-Aug-13 09:00, , , 3.80314841119828,  3.0962493,   76.9042,
 2001-Aug-13 12:00, , , 3.80337194555785,  3.0964561,   76.9212,
 2001-Aug-13 15:00, , , 3.80359549483456,  3.0966626,   76.9382,
 2001-Aug-13 18:00, , , 3.80381905900708,  3.0968688,   76.9551,
 2001-Aug-13 21:00, , , 3.80404263805408,  3.0970747,   76.9721,
 2001-Aug-14 00:00, , , 3.80426623195424,  3.0972803,   76.9891,
 2001-Aug-14 03:00, , , 3.80448984068626,  3.0974856,   77.0061,
 2001-Aug-14 06:00, , , 3.80471346422882,  3.0976906,   77.0230,
 2001-Aug-14 09:00, , , 3.80493710256062,  3.0978953,   77.0400,
 2001-Aug-14 12:00, , , 3.80516075566038,  3.0980997,   77.0570,
 2001-Aug-14 15:00, , , 3.80538442350680,  3.0983038,   77.0739,
 2001-Aug-14 18:00, , , 3.80560810607860,  3.0985077,   77.0909,
 2001-Aug-14 21:00, , , 3.80583180335451,  3.0987112,   77.1078,
 2001-Aug-15 00:00, , , 3.80605551531325,  3.0989144,   77.1248,
 2001-Aug-15 03:00, , , 3.80627924193355,  3.0991174,   77.1418,
 2001-Aug-15 06:00, , , 3.80650298319416,  3.0993200,   77.1587,
 2001-Aug-15 09:00, , , 3.80672673907382,  3.0995224,   77.1757,
 2001-Aug-15 12:00, , , 3.80695050955129,  3.0997244,   77.1926,
