

*******************************************************************************
Ephemeris / WWW_USER Tue Mar  7 07:24:40 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Catalina (P/1999 XN120)         {source: JPL#40}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1999-Jan-01 09:03:00.0000 TDB
Stop  time      : A.D. 2012-Jan-01 00:00:00.0000 TDB
Step-size       : 1 calendar months
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2451552.5 ! 2000-Jan-09.0000000 (TDB)    RMSW= n.a.                  
   EC= .2139062792844382   QR= 3.286320816340474   TP= 2451665.8346636244      
   OM= 285.4698148804891   W= 161.7748703779777    IN= 5.028371372514552       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.304656928188019E+00  Y= 2.726922557064128E+00  Z= 1.380899813079959E+00
  VX=-9.721397168510011E-03 VY= 3.504830383889894E-03 VZ= 7.104962836741240E-04
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= n.a.                                           
   M1=  9.9      M2=  13.7     k1=  10.    k2=  5.      PHCOF=  .030           
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2451179.877083333, A.D. 1999-Jan-01 09:03:00.0000,  5.667882762739261E+08,  7.920507346267796E+07,  4.974327620967264E+07,
2451210.877083333, A.D. 1999-Feb-01 09:03:00.0000,  5.511372481665401E+08,  1.189548423448700E+08,  4.939042618398045E+07,
2451238.877083333, A.D. 1999-Mar-01 09:03:00.0000,  5.345317471248296E+08,  1.543220899389903E+08,  4.884287849156644E+07,
2451269.877083333, A.D. 1999-Apr-01 09:03:00.0000,  5.133840721006035E+08,  1.926629292435042E+08,  4.797678700151807E+07,
2451299.877083333, A.D. 1999-May-01 09:03:00.0000,  4.901443038984479E+08,  2.287175141050155E+08,  4.687332454302077E+07,
2451330.877083333, A.D. 1999-Jun-01 09:03:00.0000,  4.632764151548057E+08,  2.646279043010864E+08,  4.545484732109934E+07,
2451360.877083333, A.D. 1999-Jul-01 09:03:00.0000,  4.345528599147031E+08,  2.978170025730636E+08,  4.381082403044572E+07,
2451391.877083333, A.D. 1999-Aug-01 09:03:00.0000,  4.021301787534925E+08,  3.302184048749218E+08,  4.183184778756045E+07,
2451422.877083333, A.D. 1999-Sep-01 09:03:00.0000,  3.670279141553607E+08,  3.604078968111762E+08,  3.957106981763211E+07,
2451452.877083333, A.D. 1999-Oct-01 09:03:00.0000,  3.306435751135235E+08,  3.872461478967885E+08,  3.712060552720723E+07,
2451483.877083333, A.D. 1999-Nov-01 09:03:00.0000,  2.907309105913367E+08,  4.122498784272240E+08,  3.432629328189006E+07,
2451513.877083333, A.D. 1999-Dec-01 09:03:00.0000,  2.500729549584663E+08,  4.335587219003363E+08,  3.138054555006585E+07,
