JDTB,Calendar Date,DeltaT,X,Y,Z
2451179.500000000, A.D. 1999-Jan-01 00:00:00.0000,      63.183888,  5.657124269523358E+08,  7.876310572435293E+07,  4.977914231350404E+07,
2451210.500000000, A.D. 1999-Feb-01 00:00:00.0000,      64.184755,  5.501023570078502E+08,  1.184770873451495E+08,  4.942952827155553E+07,
2451238.500000000, A.D. 1999-Mar-01 00:00:00.0000,      64.185357,  5.335359064558517E+08,  1.538147359621318E+08,  4.888493318459044E+07,
2451269.500000000, A.D. 1999-Apr-01 00:00:00.0000,      64.185650,  5.124333885025673E+08,  1.921262000680420E+08,  4.802214220651107E+07,
2451299.500000000, A.D. 1999-May-01 00:00:00.0000,      64.185495,  4.892387988155756E+08,  2.281559136463724E+08,  4.692189636433360E+07,
2451330.500000000, A.D. 1999-Jun-01 00:00:00.0000,      64.184934,  4.624187350190676E+08,  2.640443529272617E+08,  4.550674604376155E+07,
2451360.500000000, A.D. 1999-Jul-01 00:00:00.0000,      64.184151,  4.337422095933110E+08,  2.972158830838228E+08,  4.386592525707018E+07,
2451391.500000000, A.D. 1999-Aug-01 00:00:00.0000,      64.183304,  4.013686244684599E+08,  3.296029040319025E+08,  4.189019963248302E+07,
2451422.500000000, A.D. 1999-Sep-01 00:00:00.0000,      64.182642,  3.663157522387359E+08,  3.597819776465204E+08,  3.963256486607365E+07,
2451452.500000000, A.D. 1999-Oct-01 00:00:00.0000,      64.182353,  3.299791102731409E+08,  3.866141332472000E+08,  3.718500569813856E+07,
2451483.500000000, A.D. 1999-Nov-01 00:00:00.0000,      64.182505,  2.901151061238446E+08,  4.116157828741794E+08,  3.439351194713748E+07,
2451513.500000000, A.D. 1999-Dec-01 00:00:00.0000,      64.183056,  2.495030460943486E+08,  4.329267130424728E+08,  3.145027893045962E+07,
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,      64.183889,  2.056890855339381E+08,  4.517303766209625E+08,  2.817530245374051E+07,
2451575.500000000, A.D. 2000-Feb-01 00:00:00.0000,      64.184752,  1.602897884600930E+08,  4.670510490273312E+08,  2.468296136668682E+07,
2451604.500000000, A.D. 2000-Mar-01 00:00:00.0000,      64.185365,  1.166743120282537E+08,  4.780707623001046E+08,  2.124018572988832E+07,
2451635.500000000, A.D. 2000-Apr-01 00:00:00.0000,      64.185641,  6.916119388638340E+07,  4.861781892350250E+08,  1.739755491862282E+07,
2451665.500000000, A.D. 2000-May-01 00:00:00.0000,      64.185473,  2.264811465293622E+07,  4.903253086966750E+08,  1.354626229405469E+07,
2451696.500000000, A.D. 2000-Jun-01 00:00:00.0000,      64.184907, -2.559327993540564E+07,  4.907454556489689E+08,  9.460258370472878E+06,
2451726.500000000, A.D. 2000-Jul-01 00:00:00.0000,      64.184126, -7.209176570702928E+07,  4.874172665256793E+08,  5.433829435239255E+06,
2451757.500000000, A.D. 2000-Aug-01 00:00:00.0000,      64.183289, -1.195783517696565E+08,  4.801734769655340E+08,  1.231207432964712E+06,
2451788.500000000, A.D. 2000-Sep-01 00:00:00.0000,      64.182642, -1.661333144753247E+08,  4.691655742140085E+08, -2.981004288259834E+06,
2451818.500000000, A.D. 2000-Oct-01 00:00:00.0000,      64.182367, -2.099766619355267E+08,  4.550677558825514E+08, -7.035762464777708E+06,
2451849.500000000, A.D. 2000-Nov-01 00:00:00.0000,      64.182532, -2.537250451903559E+08,  4.371210745217018E+08, -1.117310536742550E+07,
2451879.500000000, A.D. 2000-Dec-01 00:00:00.0000,      64.183091, -2.942931159971299E+08,  4.166861308677660E+08, -1.509900461522737E+07,
2451910.500000000, A.D. 2001-Jan-01 00:00:00.0000,      64.183926, -3.341453936494147E+08,  3.926367008907346E+08, -1.904924446832813E+07,
2451941.500000000, A.D. 2001-Feb-01 00:00:00.0000,      64.184782, -3.716887391935488E+08,  3.658638946820083E+08, -2.286756762292521E+07,
2451969.500000000, A.D. 2001-Mar-01 00:00:00.0000,      64.185365, -4.034707342375278E+08,  3.395676708869233E+08, -2.618547335039449E+07,
2452000.500000000, A.D. 2001-Apr-01 00:00:00.0000,      64.185635, -4.361760089139112E+08,  3.083690327495205E+08, -2.969724086125706E+07,
2452030.500000000, A.D. 2001-May-01 00:00:00.0000,      64.185464, -4.652493338594069E+08,  2.763442987803802E+08, -3.292009422905466E+07,
2452061.500000000, A.D. 2001-Jun-01 00:00:00.0000,      64.184899, -4.925593786011379E+08,  2.416255643482395E+08, -3.605670578327824E+07,
2452091.500000000, A.D. 2001-Jul-01 00:00:00.0000,      64.184123, -5.163045493292149E+08,  2.067013836001471E+08, -3.889550145545451E+07,
2452122.500000000, A.D. 2001-Aug-01 00:00:00.0000,      64.183293, -5.380514194608992E+08,  1.694931661625215E+08, -4.161846917960779E+07,
2452153.500000000, A.D. 2001-Sep-01 00:00:00.0000,      64.182652, -5.569683838488104E+08,  1.313881360941236E+08, -4.412233547693101E+07,
2452183.500000000, A.D. 2001-Oct-01 00:00:00.0000,      64.182379, -5.726041340261343E+08,  9.387536396057221E+07, -4.633371042101244E+07,
2452214.500000000, A.D. 2001-Nov-01 00:00:00.0000,      64.182542, -5.860411815344615E+08,  5.466391993115880E+07, -4.839849180422251E+07,
2452244.500000000, A.D. 2001-Dec-01 00:00:00.0000,      64.183097, -5.964635296205717E+08,  1.647067242458943E+07, -5.018339250622432E+07,
2452275.500000000, A.D. 2002-Jan-01 00:00:00.0000,      64.183927, -6.046298059508647E+08, -2.306955676759335E+07, -5.180856775839178E+07,
2452306.500000000, A.D. 2002-Feb-01 00:00:00.0000,      64.184780, -6.102234386355480E+08, -6.251531729491150E+07, -5.321318353800506E+07,
2452334.500000000, A.D. 2002-Mar-01 00:00:00.0000,      64.185362, -6.131318749306655E+08, -9.793141219768037E+07, -5.429492985422516E+07,
2452365.500000000, A.D. 2002-Apr-01 00:00:00.0000,      64.185631, -6.140576236313077E+08, -1.367739744845595E+08, -5.528921232508038E+07,
2452395.500000000, A.D. 2002-May-01 00:00:00.0000,      64.185459, -6.127397315984927E+08, -1.738748657537757E+08, -5.605205813866387E+07,
2452426.500000000, A.D. 2002-Jun-01 00:00:00.0000,      64.184892, -6.091801466352792E+08, -2.115901562867492E+08, -5.663918987363365E+07,
2452456.500000000, A.D. 2002-Jul-01 00:00:00.0000,      64.184116, -6.036959639828972E+08, -2.473844863040847E+08, -5.701775092529301E+07,
2452487.500000000, A.D. 2002-Aug-01 00:00:00.0000,      64.183287, -5.960136774492295E+08, -2.835473026437251E+08, -5.721852098921689E+07,
2452518.500000000, A.D. 2002-Sep-01 00:00:00.0000,      64.182648, -5.863767905545088E+08, -3.187827859800670E+08, -5.723162096528715E+07,
2452548.500000000, A.D. 2002-Oct-01 00:00:00.0000,      64.182378, -5.752786007905029E+08, -3.519218342901918E+08, -5.707134825212501E+07,
2452579.500000000, A.D. 2002-Nov-01 00:00:00.0000,      64.182542, -5.620702678830322E+08, -3.851019346250287E+08, -5.673305811438122E+07,
2452609.500000000, A.D. 2002-Dec-01 00:00:00.0000,      64.183096, -5.476900467197512E+08, -4.161203364639017E+08, -5.624442446358997E+07,
2452640.500000000, A.D. 2003-Jan-01 00:00:00.0000,      64.183928, -5.312679005255474E+08, -4.469863445031211E+08, -5.557901844099584E+07,
2452671.500000000, A.D. 2003-Feb-01 00:00:00.0000,      64.184784, -5.133461527353896E+08, -4.765928648704346E+08, -5.475675450444403E+07,
2452699.500000000, A.D. 2003-Mar-01 00:00:00.0000,      64.185368, -4.959430114794520E+08, -5.022108895590144E+08, -5.388449415195620E+07,
2452730.500000000, A.D. 2003-Apr-01 00:00:00.0000,      64.185640, -4.754087384374126E+08, -5.292892523224536E+08, -5.278111445999157E+07,
2452760.500000000, A.D. 2003-May-01 00:00:00.0000,      64.185467, -4.543468185005700E+08, -5.541725908970978E+08, -5.158128282891446E+07,
2452791.500000000, A.D. 2003-Jun-01 00:00:00.0000,      64.184896, -4.314339437167809E+08, -5.784847551410391E+08, -5.021104570561361E+07,
2452821.500000000, A.D. 2003-Jul-01 00:00:00.0000,      64.184115, -4.082242047529414E+08, -6.006270527727509E+08, -4.876453255808502E+07,
2452852.500000000, A.D. 2003-Aug-01 00:00:00.0000,      64.183281, -3.832479813724604E+08, -6.220473231252339E+08, -4.715123705658165E+07,
2452883.500000000, A.D. 2003-Sep-01 00:00:00.0000,      64.182641, -3.573401262040230E+08, -6.419577543573233E+08, -4.542340028720742E+07,
2452913.500000000, A.D. 2003-Oct-01 00:00:00.0000,      64.182371, -3.314533986575782E+08, -6.597663415834405E+08, -4.364787038791019E+07,
2452944.500000000, A.D. 2003-Nov-01 00:00:00.0000,      64.182538, -3.039355638653084E+08, -6.766400195287912E+08, -4.171204216594398E+07,
2452974.500000000, A.D. 2003-Dec-01 00:00:00.0000,      64.183097, -2.766312354612828E+08, -6.914728419554923E+08, -3.974627826589492E+07,
2453005.500000000, A.D. 2004-Jan-01 00:00:00.0000,      64.183931, -2.477914172857698E+08, -7.052375954231020E+08, -3.762519922029614E+07,
2453036.500000000, A.D. 2004-Feb-01 00:00:00.0000,      64.184788, -2.183874803662629E+08, -7.173998216145386E+08, -3.541858439887905E+07,
2453065.500000000, A.D. 2004-Mar-01 00:00:00.0000,      64.185390, -1.904331167838269E+08, -7.273152644853883E+08, -3.328199511127570E+07,
2453096.500000000, A.D. 2004-Apr-01 00:00:00.0000,      64.185649, -1.601394563774376E+08, -7.363410182220185E+08, -3.092615764315316E+07,
2453126.500000000, A.D. 2004-May-01 00:00:00.0000,      64.185462, -1.304827739653912E+08, -7.435186431337811E+08, -2.858084484403136E+07,
2453157.500000000, A.D. 2004-Jun-01 00:00:00.0000,      64.184876, -9.955365368201646E+07, -7.493187352803102E+08, -2.609525967870098E+07,
2453187.500000000, A.D. 2004-Jul-01 00:00:00.0000,      64.184084, -6.941198378576086E+07, -7.533608391624227E+08, -2.363508398808444E+07,
2453218.500000000, A.D. 2004-Aug-01 00:00:00.0000,      64.183247, -3.811543395399273E+07, -7.559092229203532E+08, -2.104187724036938E+07,
2453249.500000000, A.D. 2004-Sep-01 00:00:00.0000,      64.182612, -6.734377866230047E+06, -7.567984932129115E+08, -1.840249376364368E+07,
2453279.500000000, A.D. 2004-Oct-01 00:00:00.0000,      64.182356,  2.364996664515193E+07, -7.560768491016421E+08, -1.580972943910766E+07,
2453310.500000000, A.D. 2004-Nov-01 00:00:00.0000,      64.182540,  5.499602042855524E+07, -7.536948560889454E+08, -1.309640258080459E+07,
2453340.500000000, A.D. 2004-Dec-01 00:00:00.0000,      64.183113,  8.521685544679581E+07, -7.498061628854691E+08, -1.044304558312416E+07,
2453371.500000000, A.D. 2005-Jan-01 00:00:00.0000,      64.183956,  1.162592882779471E+08, -7.441528197035191E+08, -7.678558226616144E+06,
2453402.500000000, A.D. 2005-Feb-01 00:00:00.0000,      64.184812,  1.470433331561281E+08, -7.368403698999046E+08, -4.896979439881772E+06,
2453430.500000000, A.D. 2005-Mar-01 00:00:00.0000,      64.185391,  1.745671148743028E+08, -7.288130355187497E+08, -2.374987684148431E+06,
2453461.500000000, A.D. 2005-Apr-01 00:00:00.0000,      64.185651,  2.046624317978860E+08, -7.183559660343937E+08,  4.221086276194155E+05,
2453491.500000000, A.D. 2005-May-01 00:00:00.0000,      64.185465,  2.333429714728758E+08, -7.066724201011953E+08,  3.128087884956568E+06,
2453522.500000000, A.D. 2005-Jun-01 00:00:00.0000,      64.184880,  2.624488971821477E+08, -6.929923721931365E+08,  5.917044672441006E+06,
2453552.500000000, A.D. 2005-Jul-01 00:00:00.0000,      64.184086,  2.900324792576999E+08, -6.782086873471587E+08,  8.602874330539167E+06,
2453583.500000000, A.D. 2005-Aug-01 00:00:00.0000,      64.183245,  3.178582666416626E+08, -6.613485516859708E+08,  1.135802642370519E+07,
2453614.500000000, A.D. 2005-Sep-01 00:00:00.0000,      64.182605,  3.449186702195070E+08, -6.428940316950709E+08,  1.408575133390570E+07,
2453644.500000000, A.D. 2005-Oct-01 00:00:00.0000,      64.182344,  3.703025752156501E+08, -6.235336041587260E+08,  1.669262883526149E+07,
2453675.500000000, A.D. 2005-Nov-01 00:00:00.0000,      64.182526,  3.956232537538124E+08, -6.019966686724858E+08,  1.934528060832831E+07,
2453705.500000000, A.D. 2005-Dec-01 00:00:00.0000,      64.183101,  4.191698357471585E+08, -5.796947447225716E+08,  2.186549723000431E+07,
2453736.500000000, A.D. 2006-Jan-01 00:00:00.0000,      64.183947,  4.424295328090225E+08, -5.551672952656240E+08,  2.441367572050554E+07,
2453767.500000000, A.D. 2006-Feb-01 00:00:00.0000,      65.184808,  4.645140290731652E+08, -5.291637702116733E+08,  2.689689694956309E+07,
2453795.500000000, A.D. 2006-Mar-01 00:00:00.0000,      65.185391,  4.833773740511813E+08, -5.044368337370090E+08,  2.907703673753309E+07,
2453826.500000000, A.D. 2006-Apr-01 00:00:00.0000,      65.185658,  5.029781182375693E+08, -4.757238764183927E+08,  3.141333406533334E+07,
2453856.500000000, A.D. 2006-May-01 00:00:00.0000,      65.185478,  5.205776797588321E+08, -4.466397837611284E+08,  3.358868801583737E+07,
2453887.500000000, A.D. 2006-Jun-01 00:00:00.0000,      65.184897,  5.372571790600852E+08, -4.152936618368878E+08,  3.573917822733435E+07,
2453917.500000000, A.D. 2006-Jul-01 00:00:00.0000,      65.184102,  5.518505169919374E+08, -3.837594531087450E+08,  3.771722087572917E+07,
2453948.500000000, A.D. 2006-Aug-01 00:00:00.0000,      65.183256,  5.652348624994293E+08, -3.499952796726027E+08,  3.964515210750426E+07,
2453979.500000000, A.D. 2006-Sep-01 00:00:00.0000,      65.182606,  5.767971694503243E+08, -3.151016733059986E+08,  4.144514475726506E+07,
2454009.500000000, A.D. 2006-Oct-01 00:00:00.0000,      65.182335,  5.861564529821330E+08, -2.803313318537583E+08,  4.305547137495789E+07,
2454040.500000000, A.D. 2006-Nov-01 00:00:00.0000,      65.182509,  5.938374780545228E+08, -2.434503997954552E+08,  4.457310287799817E+07,
2454070.500000000, A.D. 2006-Dec-01 00:00:00.0000,      65.183081,  5.992494921690489E+08, -2.069278904168656E+08,  4.588995416279463E+07,
2454101.500000000, A.D. 2007-Jan-01 00:00:00.0000,      65.183930,  6.026542234188058E+08, -1.684328503162096E+08,  4.708297902616347E+07,
2454132.500000000, A.D. 2007-Feb-01 00:00:00.0000,      65.184799,  6.037359415583684E+08, -1.292873203831011E+08,  4.809435566647737E+07,
2454160.500000000, A.D. 2007-Mar-01 00:00:00.0000,      65.185392,  6.026345042884773E+08, -9.347942772534652E+07,  4.884224810856090E+07,
2454191.500000000, A.D. 2007-Apr-01 00:00:00.0000,      65.185665,  5.990265083376722E+08, -5.346819660927919E+07,  4.947641198625322E+07,
2454221.500000000, A.D. 2007-May-01 00:00:00.0000,      65.185489,  5.930630154472097E+08, -1.452396889877736E+07,  4.988583840688952E+07,
2454252.500000000, A.D. 2007-Jun-01 00:00:00.0000,      65.184910,  5.842652157424054E+08,  2.578238647110418E+07,  5.008701548756885E+07,
2454282.500000000, A.D. 2007-Jul-01 00:00:00.0000,      65.184115,  5.731309998858305E+08,  6.467623333662194E+07,  5.005696945831396E+07,
2454313.500000000, A.D. 2007-Aug-01 00:00:00.0000,      65.183263,  5.588559378282384E+08,  1.045532824586254E+08,  4.978380510774399E+07,
2454344.500000000, A.D. 2007-Sep-01 00:00:00.0000,      65.182604,  5.417161427192277E+08,  1.438958701477445E+08,  4.925528299036524E+07,
2454374.500000000, A.D. 2007-Oct-01 00:00:00.0000,      65.182323,  5.223699028951972E+08,  1.812403148700678E+08,  4.849282458769959E+07,
2454405.500000000, A.D. 2007-Nov-01 00:00:00.0000,      65.182490,  4.995139079249098E+08,  2.188345615907005E+08,  4.743878487855802E+07,
2454435.500000000, A.D. 2007-Dec-01 00:00:00.0000,      65.183059,  4.746310827944619E+08,  2.540096920237838E+08,  4.615616756234048E+07,
2454466.500000000, A.D. 2008-Jan-01 00:00:00.0000,      65.183911,  4.460968266535494E+08,  2.888457575010242E+08,  4.455615959842598E+07,
2454497.500000000, A.D. 2008-Feb-01 00:00:00.0000,      65.184788,  4.147585392268264E+08,  3.218682450889373E+08,  4.267596175131668E+07,
2454526.500000000, A.D. 2008-Mar-01 00:00:00.0000,      65.185404,  3.829896155960547E+08,  3.508664674291999E+08,  4.066480041892549E+07,
2454557.500000000, A.D. 2008-Apr-01 00:00:00.0000,      65.185672,  3.465332227347537E+08,  3.795712492262321E+08,  3.824957707832207E+07,
2454587.500000000, A.D. 2008-May-01 00:00:00.0000,      65.185487,  3.089518815227107E+08,  4.048373617646118E+08,  3.565834004092145E+07,
2454618.500000000, A.D. 2008-Jun-01 00:00:00.0000,      65.184899,  2.679404096810442E+08,  4.280898777611620E+08,  3.272923965749165E+07,
2454648.500000000, A.D. 2008-Jul-01 00:00:00.0000,      65.184100,  2.263709596860298E+08,  4.475975461881791E+08,  2.966501696838859E+07,
2454679.500000000, A.D. 2008-Aug-01 00:00:00.0000,      65.183250,  1.817429652818731E+08,  4.644439959658974E+08,  2.627926127829430E+07,
2454710.500000000, A.D. 2008-Sep-01 00:00:00.0000,      65.182598,  1.357217291670913E+08,  4.777359919548308E+08,  2.269212946265084E+07,
2454740.500000000, A.D. 2008-Oct-01 00:00:00.0000,      65.182325,  9.017647525942113E+07,  4.870709156702901E+08,  1.905255883656704E+07,
2454771.500000000, A.D. 2008-Nov-01 00:00:00.0000,      65.182498,  4.242002222299223E+07,  4.929644380809110E+08,  1.514501437782952E+07,
2454801.500000000, A.D. 2008-Dec-01 00:00:00.0000,      65.183071, -4.119585482313578E+06,  4.949776730094103E+08,  1.124963787283820E+07,
2454832.500000000, A.D. 2009-Jan-01 00:00:00.0000,      65.183925, -5.217700022137365E+07,  4.932309145744631E+08,  7.137608508005649E+06,
