

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 19:13:26 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: DSCOVR (spacecraft) (-78)       {source: DSCOVR_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2015-Feb-11 23:45:07.1851 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2457065.489666494, A.D. 2015-Feb-11 23:45:07.1851, -1.174904823325020E+08,  8.944302960745443E+07, -3.655130840949714E+03,
2457068.489666494, A.D. 2015-Feb-14 23:45:07.1851, -1.217453994964489E+08,  8.292412095453805E+07, -6.555216454195231E+04,
2457071.489666494, A.D. 2015-Feb-17 23:45:07.1851, -1.258363487182542E+08,  7.631756263064101E+07, -8.865927572158352E+04,
2457074.489666494, A.D. 2015-Feb-20 23:45:07.1851, -1.296321372143637E+08,  6.952720088220771E+07, -1.027864431478567E+05,
2457077.489666494, A.D. 2015-Feb-23 23:45:07.1851, -1.331005591423872E+08,  6.255984845202026E+07, -1.116531148709506E+05,
2457080.489666494, A.D. 2015-Feb-26 23:45:07.1851, -1.362224994388892E+08,  5.542961464845842E+07, -1.168387652671374E+05,
2457083.489666494, A.D. 2015-Mar-01 23:45:07.1851, -1.389843351745045E+08,  4.815371044139314E+07, -1.191191244702265E+05,
2457086.489666494, A.D. 2015-Mar-04 23:45:07.1851, -1.413754623572856E+08,  4.075093161972862E+07, -1.189786569477003E+05,
2457089.489666494, A.D. 2015-Mar-07 23:45:07.1851, -1.433874303080198E+08,  3.324100852386595E+07, -1.167793399953283E+05,
2457092.489666494, A.D. 2015-Mar-10 23:45:07.1851, -1.450135694457660E+08,  2.564425732635881E+07, -1.127975912192483E+05,
2457095.489666494, A.D. 2015-Mar-13 23:45:07.1851, -1.462488153398480E+08,  1.798136024787637E+07, -1.072513926983606E+05,
2457098.489666494, A.D. 2015-Mar-16 23:45:07.1851, -1.470896022331699E+08,  1.027326922393734E+07, -1.003408531404827E+05,
2457101.489666494, A.D. 2015-Mar-19 23:45:07.1851, -1.475337974560702E+08,  2.541084207324835E+06, -9.221241107392509E+04,
2457104.489666494, A.D. 2015-Mar-22 23:45:07.1851, -1.475805792059890E+08, -5.194028432263286E+06, -8.302457439688616E+04,
2457107.489666494, A.D. 2015-Mar-25 23:45:07.1851, -1.472303800147266E+08, -1.291098279992333E+07, -7.291114350116067E+04,
2457110.489666494, A.D. 2015-Mar-28 23:45:07.1851, -1.464849155681447E+08, -2.058885233502090E+07, -6.203484873256553E+04,
