

*******************************************************************************
Ephemeris / WWW_USER Tue Mar  7 07:27:58 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1999-Jan-01 09:03:00.0000 TDB
Stop  time      : A.D. 2012-Jan-01 00:00:00.0000 TDB
Step-size       : 1 calendar months
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2451179.877083333, A.D. 1999-Jan-01 09:03:00.0000, -2.683599467170385E+07,  1.446304111573347E+08,  7.581286064013839E+02,
2451210.877083333, A.D. 1999-Feb-01 09:03:00.0000, -9.875586440149161E+07,  1.094249696512409E+08,  3.880765763893723E+02,
2451238.877083333, A.D. 1999-Mar-01 09:03:00.0000, -1.395777618493682E+08,  4.985186505899899E+07,  1.916049190871418E+02,
2451269.877083333, A.D. 1999-Apr-01 09:03:00.0000, -1.466171975338903E+08, -2.906216857284391E+07, -3.033979054987431E+02,
2451299.877083333, A.D. 1999-May-01 09:03:00.0000, -1.144744282366557E+08, -9.803196892110538E+07, -5.679793868362904E+02,
2451330.877083333, A.D. 1999-Jun-01 09:03:00.0000, -5.072446047459562E+07, -1.429547565458229E+08, -5.701210697442293E+02,
2451360.877083333, A.D. 1999-Jul-01 09:03:00.0000,  2.411258376890589E+07, -1.501650534947208E+08, -3.916276194155216E+02,
2451391.877083333, A.D. 1999-Aug-01 09:03:00.0000,  9.494567750304766E+07, -1.184956533109728E+08, -2.662614610791206E+01,
2451422.877083333, A.D. 1999-Sep-01 09:03:00.0000,  1.404854475359057E+08, -5.531939732215539E+07,  1.291264910325408E+02,
2451452.877083333, A.D. 1999-Oct-01 09:03:00.0000,  1.484129762515178E+08,  2.021268148570869E+07, -2.999211177602410E+01,
2451483.877083333, A.D. 1999-Nov-01 09:03:00.0000,  1.162059115182262E+08,  9.243588807837000E+07, -3.894082988947630E+02,
2451513.877083333, A.D. 1999-Dec-01 09:03:00.0000,  5.353498885907567E+07,  1.374622512486733E+08, -5.867269851341844E+02,
2451544.877083333, A.D. 2000-Jan-01 09:03:00.0000, -2.618255782608678E+07,  1.447550393120236E+08, -6.129245121032000E+02,
2451575.877083333, A.D. 2000-Feb-01 09:03:00.0000, -9.826700680978391E+07,  1.098696151224029E+08, -3.226967994794250E+02,
2451604.877083333, A.D. 2000-Mar-01 09:03:00.0000, -1.402529670041007E+08,  4.803872772544529E+07, -4.468256415799260E+01,
2451635.877083333, A.D. 2000-Apr-01 09:03:00.0000, -1.462776589431102E+08, -3.094681802016570E+07,  4.189557570815086E+02,
