

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 19:52:01 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1963-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2438030.500000000, A.D. 1963-Jan-01 00:00:00.0000, -2.647579365191820E+07,  1.446991409437383E+08,  1.213480810291320E+04,
2438033.500000000, A.D. 1963-Jan-04 00:00:00.0000, -3.415582944711042E+07,  1.430754239817145E+08,  1.206594078862667E+04,
2438036.500000000, A.D. 1963-Jan-07 00:00:00.0000, -4.173815606841832E+07,  1.410519858447519E+08,  1.175391413193941E+04,
2438039.500000000, A.D. 1963-Jan-10 00:00:00.0000, -4.920275896384385E+07,  1.386356067796380E+08,  1.124555523433536E+04,
2438042.500000000, A.D. 1963-Jan-13 00:00:00.0000, -5.653031784197170E+07,  1.358330855170142E+08,  1.066862808322161E+04,
2438045.500000000, A.D. 1963-Jan-16 00:00:00.0000, -6.370139853626787E+07,  1.326514413745830E+08,  1.015151004003733E+04,
2438048.500000000, A.D. 1963-Jan-19 00:00:00.0000, -7.069623647906736E+07,  1.290985279207506E+08,  9.770630836442113E+03,
2438051.500000000, A.D. 1963-Jan-22 00:00:00.0000, -7.749492318096188E+07,  1.251834136407884E+08,  9.540899495281279E+03,
2438054.500000000, A.D. 1963-Jan-25 00:00:00.0000, -8.407756392576028E+07,  1.209166040064274E+08,  9.411387343592942E+03,
2438057.500000000, A.D. 1963-Jan-28 00:00:00.0000, -9.042453995594576E+07,  1.163104116786120E+08,  9.262757250644267E+03,
2438060.500000000, A.D. 1963-Jan-31 00:00:00.0000, -9.651728330170605E+07,  1.113791839879672E+08,  8.952528283491731E+03,
2438063.500000000, A.D. 1963-Feb-03 00:00:00.0000, -1.023391521139747E+08,  1.061386886071070E+08,  8.407426002740860E+03,
2438066.500000000, A.D. 1963-Feb-06 00:00:00.0000, -1.078754498273126E+08,  1.006050210105861E+08,  7.669239024020731E+03,
2438069.500000000, A.D. 1963-Feb-09 00:00:00.0000, -1.131127088692034E+08,  9.479400645121799E+07,  6.858832601167262E+03,
2438072.500000000, A.D. 1963-Feb-12 00:00:00.0000, -1.180379501751693E+08,  8.872131155639081E+07,  6.105562457665801E+03,
2438075.500000000, A.D. 1963-Feb-15 00:00:00.0000, -1.226383632015688E+08,  8.240293986759707E+07,  5.492994304891676E+03,
