JDTB,Calendar Date,DeltaT,X,Y,Z
2451179.500000000, A.D. 1999-Jan-01 00:00:00.0000,      63.183888, -2.711455367925364E+07,  1.448524328165362E+08,  3.396167826800048E+04,
2451210.500000000, A.D. 1999-Feb-01 00:00:00.0000,      64.184755, -9.926017930992241E+07,  1.100786217710583E+08,  3.365131285551935E+04,
2451238.500000000, A.D. 1999-Mar-01 00:00:00.0000,      64.185357, -1.404679216980753E+08,  5.073285238706003E+07,  3.344346903620288E+04,
2451269.500000000, A.D. 1999-Apr-01 00:00:00.0000,      64.185650, -1.480123701824748E+08, -2.818272623306462E+07,  3.287693347449042E+04,
2451299.500000000, A.D. 1999-May-01 00:00:00.0000,      64.185495, -1.163018009582088E+08, -9.740521539300270E+07,  3.250027634900808E+04,
2451330.500000000, A.D. 1999-Jun-01 00:00:00.0000,      64.184934, -5.282368832221033E+07, -1.427796880927843E+08,  3.234069224939495E+04,
2451360.500000000, A.D. 1999-Jul-01 00:00:00.0000,      64.184151,  2.198192213099312E+07, -1.505065897786026E+08,  3.235198935646564E+04,
2451391.500000000, A.D. 1999-Aug-01 00:00:00.0000,      64.183304,  9.302995125545576E+07, -1.193301443693820E+08,  3.252239187679440E+04,
2451422.500000000, A.D. 1999-Sep-01 00:00:00.0000,      64.182642,  1.389878378793664E+08, -5.649049742251132E+07,  3.245402210538462E+04,
2451452.500000000, A.D. 1999-Oct-01 00:00:00.0000,      64.182353,  1.474204046074270E+08,  1.894405380388137E+07,  3.202394313472323E+04,
2451483.500000000, A.D. 1999-Nov-01 00:00:00.0000,      64.182505,  1.157085256269168E+08,  9.133006015914664E+07,  3.132133377495781E+04,
2451513.500000000, A.D. 1999-Dec-01 00:00:00.0000,      64.183056,  5.336150841074087E+07,  1.367275452991116E+08,  3.072978455050290E+04,
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,      64.183889, -2.627903751048988E+07,  1.445101984929515E+08,  3.025245352813601E+04,
2451575.500000000, A.D. 2000-Feb-01 00:00:00.0000,      64.184752, -9.856788159823929E+07,  1.100662728260621E+08,  3.006392240419239E+04,
2451604.500000000, A.D. 2000-Mar-01 00:00:00.0000,      64.185365, -1.409369252910841E+08,  4.847741968774576E+07,  2.987887493105978E+04,
2451635.500000000, A.D. 2000-Apr-01 00:00:00.0000,      64.185641, -1.474492271929067E+08, -3.050654973384336E+07,  2.982024430121481E+04,
2451665.500000000, A.D. 2000-May-01 00:00:00.0000,      64.185473, -1.148486208758838E+08, -9.929781859792648E+07,  2.953623510552198E+04,
2451696.500000000, A.D. 2000-Jun-01 00:00:00.0000,      64.184907, -5.079063029245019E+07, -1.438518901782766E+08,  2.895649526669085E+04,
2451726.500000000, A.D. 2000-Jul-01 00:00:00.0000,      64.184126,  2.412246544334461E+07, -1.506254548816606E+08,  2.810253681343794E+04,
2451757.500000000, A.D. 2000-Aug-01 00:00:00.0000,      64.183289,  9.479819005446663E+07, -1.185397981497654E+08,  2.694550685875863E+04,
2451788.500000000, A.D. 2000-Sep-01 00:00:00.0000,      64.182642,  1.399824291841907E+08, -5.509587747849734E+07,  2.585985758051276E+04,
2451818.500000000, A.D. 2000-Oct-01 00:00:00.0000,      64.182367,  1.474692528787189E+08,  2.047183342501222E+07,  2.501950232053734E+04,
2451849.500000000, A.D. 2000-Nov-01 00:00:00.0000,      64.182532,  1.148333816553837E+08,  9.247526610481142E+07,  2.438100965480506E+04,
2451879.500000000, A.D. 2000-Dec-01 00:00:00.0000,      64.183091,  5.190384171372592E+07,  1.370827894101985E+08,  2.380552087484300E+04,
2451910.500000000, A.D. 2001-Jan-01 00:00:00.0000,      64.183926, -2.782599333641417E+07,  1.438414390631955E+08,  2.326248591981828E+04,
2451941.500000000, A.D. 2001-Feb-01 00:00:00.0000,      64.184782, -9.964322100796017E+07,  1.084755110943049E+08,  2.252670223554969E+04,
2451969.500000000, A.D. 2001-Mar-01 00:00:00.0000,      64.185365, -1.403143593152857E+08,  4.881312447335006E+07,  2.186070582566783E+04,
2452000.500000000, A.D. 2001-Apr-01 00:00:00.0000,      64.185635, -1.471624540037047E+08, -3.012509406583514E+07,  2.093268295967951E+04,
2452030.500000000, A.D. 2001-May-01 00:00:00.0000,      64.185464, -1.148518515953342E+08, -9.904160740731941E+07,  2.013906563770771E+04,
2452061.500000000, A.D. 2001-Jun-01 00:00:00.0000,      64.184899, -5.097703523508804E+07, -1.438529327634387E+08,  1.930019110744447E+04,
2452091.500000000, A.D. 2001-Jul-01 00:00:00.0000,      64.184123,  2.391446736104402E+07, -1.509309867781187E+08,  1.852233098664880E+04,
2452122.500000000, A.D. 2001-Aug-01 00:00:00.0000,      64.183293,  9.473157370751473E+07, -1.191320336818685E+08,  1.771510808855295E+04,
2452153.500000000, A.D. 2001-Sep-01 00:00:00.0000,      64.182652,  1.401925666469226E+08, -5.587121938434983E+07,  1.673399591880664E+04,
2452183.500000000, A.D. 2001-Oct-01 00:00:00.0000,      64.182379,  1.480138651559016E+08,  1.967281301094085E+07,  1.549932871232182E+04,
2452214.500000000, A.D. 2001-Nov-01 00:00:00.0000,      64.182542,  1.157063825966622E+08,  9.182678404788324E+07,  1.403288554993644E+04,
2452244.500000000, A.D. 2001-Dec-01 00:00:00.0000,      64.183097,  5.298896751240552E+07,  1.367261524963472E+08,  1.260281847305596E+04,
2452275.500000000, A.D. 2002-Jan-01 00:00:00.0000,      64.183927, -2.669711181463586E+07,  1.438622238903331E+08,  1.120612309649587E+04,
