

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 19:15:46 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: ICE (spacecraft) (-111)         {source: ice_s45_2016}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2016-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2456658.500000000, A.D. 2014-Jan-01 00:00:00.0000,  2.169289144425236E+07,  1.469139702487327E+08, -2.177749786882102E+04,
2456661.500000000, A.D. 2014-Jan-04 00:00:00.0000,  1.400200543833584E+07,  1.474344976592948E+08, -1.390974657784402E+04,
2456664.500000000, A.D. 2014-Jan-07 00:00:00.0000,  6.272702840364031E+06,  1.475504043949206E+08, -6.003453906215727E+03,
2456667.500000000, A.D. 2014-Jan-10 00:00:00.0000, -1.473947865129808E+06,  1.472579588314775E+08,  1.919836580082774E+03,
2456670.500000000, A.D. 2014-Jan-13 00:00:00.0000, -9.216471363415739E+06,  1.465544906610791E+08,  9.838152347117662E+03,
2456673.500000000, A.D. 2014-Jan-16 00:00:00.0000, -1.693303375614935E+07,  1.454384356373889E+08,  1.772914489322156E+04,
2456676.500000000, A.D. 2014-Jan-19 00:00:00.0000, -2.460149560804402E+07,  1.439093790386210E+08,  2.557014676500857E+04,
2456679.500000000, A.D. 2014-Jan-22 00:00:00.0000, -3.219946993282210E+07,  1.419680973551308E+08,  3.333823254176229E+04,
2456682.500000000, A.D. 2014-Jan-25 00:00:00.0000, -3.970438521145391E+07,  1.396165976690291E+08,  4.101028389645368E+04,
2456685.500000000, A.D. 2014-Jan-28 00:00:00.0000, -4.709355348279587E+07,  1.368581541578838E+08,  4.856305912166834E+04,
2456688.500000000, A.D. 2014-Jan-31 00:00:00.0000, -5.434424348914222E+07,  1.336973411236603E+08,  5.597326804970205E+04,
2456691.500000000, A.D. 2014-Feb-03 00:00:00.0000, -6.143375879824972E+07,  1.301400619187769E+08,  6.321765384997427E+04,
2456694.500000000, A.D. 2014-Feb-06 00:00:00.0000, -6.833952075383635E+07,  1.261935731093390E+08,  7.027308273871243E+04,
2456697.500000000, A.D. 2014-Feb-09 00:00:00.0000, -7.503915601560441E+07,  1.218665031872362E+08,  7.711664027743787E+04,
2456700.500000000, A.D. 2014-Feb-12 00:00:00.0000, -8.151058833590239E+07,  1.171688651396237E+08,  8.372573030850291E+04,
2456703.500000000, A.D. 2014-Feb-15 00:00:00.0000, -8.773213410876666E+07,  1.121120622158613E+08,  9.007817323461920E+04,
