

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 13:47:38 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: James Webb Space Telescope (spacecraft) (-170) {source: JWST_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Dec-25 13:01:09.1840 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2459574.042467407, A.D. 2021-Dec-25 13:01:09.1840, -9.353579695551189E+06,  1.468338494588022E+08, -8.372745974965394E+03,
2459577.042467407, A.D. 2021-Dec-28 13:01:09.1840, -1.718007900476519E+07,  1.465192137023295E+08, -1.833706317182407E+05,
2459580.042467407, A.D. 2021-Dec-31 13:01:09.1840, -2.498943314054859E+07,  1.455918936270597E+08, -2.666432331005558E+05,
2459583.042467407, A.D. 2022-Jan-03 13:01:09.1840, -3.272625916267616E+07,  1.442030934789633E+08, -3.242958473603800E+05,
2459586.042467407, A.D. 2022-Jan-06 13:01:09.1840, -4.036922358017752E+07,  1.423801992391683E+08, -3.659389560472667E+05,
2459589.042467407, A.D. 2022-Jan-09 13:01:09.1840, -4.789769521731018E+07,  1.401387554810947E+08, -3.956727423004135E+05,
2459592.042467407, A.D. 2022-Jan-12 13:01:09.1840, -5.529134544870201E+07,  1.374909408832414E+08, -4.157581486656591E+05,
2459595.042467407, A.D. 2022-Jan-15 13:01:09.1840, -6.253023891351110E+07,  1.344479158434542E+08, -4.275406735725999E+05,
2459598.042467407, A.D. 2022-Jan-18 13:01:09.1840, -6.959489223355827E+07,  1.310207307380467E+08, -4.319822657285631E+05,
2459601.042467407, A.D. 2022-Jan-21 13:01:09.1840, -7.646634040623815E+07,  1.272208415435917E+08, -4.298507429866269E+05,
2459604.042467407, A.D. 2022-Jan-24 13:01:09.1840, -8.312609668132776E+07,  1.230602797511379E+08, -4.217879601674303E+05,
2459607.042467407, A.D. 2022-Jan-27 13:01:09.1840, -8.955655563287853E+07,  1.185518040114833E+08, -4.083294112587944E+05,
2459610.042467407, A.D. 2022-Jan-30 13:01:09.1840, -9.574012981835783E+07,  1.137086538567513E+08, -3.899131109237298E+05,
2459613.042467407, A.D. 2022-Feb-02 13:01:09.1840, -1.016601884430126E+08,  1.085448824453797E+08, -3.669562953676954E+05,
2459616.042467407, A.D. 2022-Feb-05 13:01:09.1840, -1.073008524443433E+08,  1.030752909281422E+08, -3.398665005491823E+05,
2459619.042467407, A.D. 2022-Feb-08 13:01:09.1840, -1.126469936953267E+08,  9.731539651313317E+07, -3.090414890294746E+05,
