

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 19:53:16 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Sun (10)                        {source: jup365_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1963-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2438030.500000000, A.D. 1963-Jan-01 00:00:00.0000,  7.307381505455480E+08, -1.379149893390854E+08, -1.580372516650940E+07,
2438033.500000000, A.D. 1963-Jan-04 00:00:00.0000,  7.313190064688379E+08, -1.344230320532497E+08, -1.583109188804837E+07,
2438036.500000000, A.D. 1963-Jan-07 00:00:00.0000,  7.318841598044763E+08, -1.309281351446871E+08, -1.585811271510337E+07,
2438039.500000000, A.D. 1963-Jan-10 00:00:00.0000,  7.324331011322507E+08, -1.274305288126441E+08, -1.588479808944584E+07,
2438042.500000000, A.D. 1963-Jan-13 00:00:00.0000,  7.329665799557498E+08, -1.239302755021951E+08, -1.591113726158873E+07,
2438045.500000000, A.D. 1963-Jan-16 00:00:00.0000,  7.334840374432052E+08, -1.204270199988190E+08, -1.593712219074690E+07,
2438048.500000000, A.D. 1963-Jan-19 00:00:00.0000,  7.339855008749536E+08, -1.169213453547225E+08, -1.596276800333375E+07,
2438051.500000000, A.D. 1963-Jan-22 00:00:00.0000,  7.344710501925857E+08, -1.134128024995423E+08, -1.598805576301799E+07,
2438054.500000000, A.D. 1963-Jan-25 00:00:00.0000,  7.349404092212155E+08, -1.099021571698578E+08, -1.601301087460208E+07,
2438057.500000000, A.D. 1963-Jan-28 00:00:00.0000,  7.353941440569957E+08, -1.063891994931322E+08, -1.603761686817194E+07,
2438060.500000000, A.D. 1963-Jan-31 00:00:00.0000,  7.358316904901663E+08, -1.028737435945974E+08, -1.606187073900174E+07,
2438063.500000000, A.D. 1963-Feb-03 00:00:00.0000,  7.362535018281032E+08, -9.935616344979493E+07, -1.608577559422280E+07,
2438066.500000000, A.D. 1963-Feb-06 00:00:00.0000,  7.366591031226320E+08, -9.583608892572722E+07, -1.610932229460885E+07,
2438069.500000000, A.D. 1963-Feb-09 00:00:00.0000,  7.370484711813561E+08, -9.231425159475631E+07, -1.613253150983828E+07,
2438072.500000000, A.D. 1963-Feb-12 00:00:00.0000,  7.374221039217043E+08, -8.879029268561806E+07, -1.615538241038697E+07,
2438075.500000000, A.D. 1963-Feb-15 00:00:00.0000,  7.377795127310376E+08, -8.526459261898033E+07, -1.617789035624274E+07,
