JDTB,Calendar Year,X,Y,Z
2459899.877, A.D. 2022-Nov-16 09:03:00.0000,-3.82E+03,3.02E+03,4.44E+02
2459900.127, A.D. 2022-Nov-16 15:03:00.0000,-3.96E+03,2.81E+03,4.39E+02
2459900.377, A.D. 2022-Nov-16 21:03:00.0000,-4.10E+03,2.59E+03,4.33E+02
2459900.627, A.D. 2022-Nov-17 03:03:00.0000,-4.22E+03,2.37E+03,4.26E+02
2459900.877, A.D. 2022-Nov-17 09:03:00.0000,-4.33E+03,2.14E+03,4.17E+02
2459901.127, A.D. 2022-Nov-17 15:03:00.0000,-4.43E+03,1.90E+03,4.07E+02
2459901.377, A.D. 2022-Nov-17 21:03:00.0000,-4.51E+03,1.66E+03,3.96E+02
2459901.627, A.D. 2022-Nov-18 03:03:00.0000,-4.58E+03,1.41E+03,3.83E+02
2459901.877, A.D. 2022-Nov-18 09:03:00.0000,-4.64E+03,1.15E+03,3.70E+02
2459902.127, A.D. 2022-Nov-18 15:03:00.0000,-4.68E+03,8.96E+02,3.55E+02
2459902.377, A.D. 2022-Nov-18 21:03:00.0000,-4.71E+03,6.36E+02,3.39E+02
2459902.627, A.D. 2022-Nov-19 03:03:00.0000,-4.72E+03,3.74E+02,3.23E+02
2459902.877, A.D. 2022-Nov-19 09:03:00.0000,-4.72E+03,1.11E+02,3.05E+02
2459903.127, A.D. 2022-Nov-19 15:03:00.0000,-4.70E+03,-1.53E+02,2.86E+02
2459903.377, A.D. 2022-Nov-19 21:03:00.0000,-4.67E+03,-4.16E+02,2.66E+02
2459903.627, A.D. 2022-Nov-20 03:03:00.0000,-4.62E+03,-6.79E+02,2.45E+02
2459903.877, A.D. 2022-Nov-20 09:03:00.0000,-4.56E+03,-9.39E+02,2.24E+02
2459904.127, A.D. 2022-Nov-20 15:03:00.0000,-4.48E+03,-1.20E+03,2.02E+02
2459904.377, A.D. 2022-Nov-20 21:03:00.0000,-4.39E+03,-1.45E+03,1.79E+02
2459904.627, A.D. 2022-Nov-21 03:03:00.0000,-4.28E+03,-1.70E+03,1.55E+02
2459904.877, A.D. 2022-Nov-21 09:03:00.0000,-4.16E+03,-1.94E+03,1.31E+02
2459905.127, A.D. 2022-Nov-21 15:03:00.0000,-4.02E+03,-2.18E+03,1.07E+02
2459905.377, A.D. 2022-Nov-21 21:03:00.0000,-3.87E+03,-2.41E+03,8.20E+01
2459905.627, A.D. 2022-Nov-22 03:03:00.0000,-3.71E+03,-2.63E+03,5.68E+01
2459905.877, A.D. 2022-Nov-22 09:03:00.0000,-3.53E+03,-2.84E+03,3.14E+01
2459906.127, A.D. 2022-Nov-22 15:03:00.0000,-3.34E+03,-3.04E+03,5.95E+00
2459906.377, A.D. 2022-Nov-22 21:03:00.0000,-3.14E+03,-3.23E+03,-1.96E+01
2459906.627, A.D. 2022-Nov-23 03:03:00.0000,-2.92E+03,-3.40E+03,-4.50E+01
2459906.877, A.D. 2022-Nov-23 09:03:00.0000,-2.70E+03,-3.57E+03,-7.03E+01
2459907.127, A.D. 2022-Nov-23 15:03:00.0000,-2.46E+03,-3.72E+03,-9.53E+01
2459907.377, A.D. 2022-Nov-23 21:03:00.0000,-2.22E+03,-3.86E+03,-1.20E+02
2459907.627, A.D. 2022-Nov-24 03:03:00.0000,-1.96E+03,-3.98E+03,-1.44E+02
2459907.877, A.D. 2022-Nov-24 09:03:00.0000,-1.70E+03,-4.09E+03,-1.68E+02
2459908.127, A.D. 2022-Nov-24 15:03:00.0000,-1.43E+03,-4.18E+03,-1.91E+02
2459908.377, A.D. 2022-Nov-24 21:03:00.0000,-1.16E+03,-4.26E+03,-2.13E+02
2459908.627, A.D. 2022-Nov-25 03:03:00.0000,-8.84E+02,-4.32E+03,-2.34E+02
2459908.877, A.D. 2022-Nov-25 09:03:00.0000,-6.04E+02,-4.36E+03,-2.55E+02
2459909.127, A.D. 2022-Nov-25 15:03:00.0000,-3.21E+02,-4.39E+03,-2.74E+02
2459909.377, A.D. 2022-Nov-25 21:03:00.0000,-3.72E+01,-4.40E+03,-2.93E+02
2459909.627, A.D. 2022-Nov-26 03:03:00.0000,2.47E+02,-4.39E+03,-3.10E+02
2459909.877, A.D. 2022-Nov-26 09:03:00.0000,5.30E+02,-4.37E+03,-3.26E+02
2459910.127, A.D. 2022-Nov-26 15:03:00.0000,8.10E+02,-4.32E+03,-3.41E+02
2459910.377, A.D. 2022-Nov-26 21:03:00.0000,1.09E+03,-4.26E+03,-3.54E+02
2459910.627, A.D. 2022-Nov-27 03:03:00.0000,1.36E+03,-4.19E+03,-3.66E+02
2459910.877, A.D. 2022-Nov-27 09:03:00.0000,1.63E+03,-4.10E+03,-3.76E+02
2459911.127, A.D. 2022-Nov-27 15:03:00.0000,1.89E+03,-3.99E+03,-3.85E+02
2459911.377, A.D. 2022-Nov-27 21:03:00.0000,2.14E+03,-3.86E+03,-3.93E+02
2459911.627, A.D. 2022-Nov-28 03:03:00.0000,2.39E+03,-3.72E+03,-3.99E+02
2459911.877, A.D. 2022-Nov-28 09:03:00.0000,2.62E+03,-3.57E+03,-4.03E+02
