

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 19:52:51 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1963-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2438030.500000000, A.D. 1963-Jan-01 00:00:00.0000, -1.222852616405279E+08,  2.115350945858226E+08,  7.444334743419200E+06,
2438033.500000000, A.D. 1963-Jan-04 00:00:00.0000, -1.274447802502016E+08,  2.088602437300569E+08,  7.515556577758402E+06,
2438036.500000000, A.D. 1963-Jan-07 00:00:00.0000, -1.325268370119959E+08,  2.060584309926725E+08,  7.582209996297523E+06,
2438039.500000000, A.D. 1963-Jan-10 00:00:00.0000, -1.375286633878579E+08,  2.031318583525629E+08,  7.644272811623618E+06,
2438042.500000000, A.D. 1963-Jan-13 00:00:00.0000, -1.424475502391833E+08,  2.000827695031784E+08,  7.701725168818250E+06,
2438045.500000000, A.D. 1963-Jan-16 00:00:00.0000, -1.472808474809533E+08,  1.969134486110114E+08,  7.754549516040251E+06,
2438048.500000000, A.D. 1963-Jan-19 00:00:00.0000, -1.520259637599503E+08,  1.936262191186460E+08,  7.802730575959593E+06,
2438051.500000000, A.D. 1963-Jan-22 00:00:00.0000, -1.566803661427482E+08,  1.902234425868844E+08,  7.846255316757455E+06,
2438054.500000000, A.D. 1963-Jan-25 00:00:00.0000, -1.612415797951706E+08,  1.867075175612490E+08,  7.885112923049040E+06,
2438057.500000000, A.D. 1963-Jan-28 00:00:00.0000, -1.657071876277788E+08,  1.830808784917592E+08,  7.919294760780133E+06,
2438060.500000000, A.D. 1963-Jan-31 00:00:00.0000, -1.700748299346456E+08,  1.793459947255982E+08,  7.948794346609943E+06,
2438063.500000000, A.D. 1963-Feb-03 00:00:00.0000, -1.743422040307288E+08,  1.755053695612507E+08,  7.973607316863261E+06,
2438066.500000000, A.D. 1963-Feb-06 00:00:00.0000, -1.785070639006553E+08,  1.715615393756088E+08,  7.993731398862377E+06,
2438069.500000000, A.D. 1963-Feb-09 00:00:00.0000, -1.825672198713761E+08,  1.675170728002526E+08,  8.009166386893705E+06,
2438072.500000000, A.D. 1963-Feb-12 00:00:00.0000, -1.865205382955892E+08,  1.633745699492618E+08,  8.019914116114102E+06,
2438075.500000000, A.D. 1963-Feb-15 00:00:00.0000, -1.903649412618442E+08,  1.591366616971363E+08,  8.025978441783763E+06,
