

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 19:50:34 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1963-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2438030.500000000, A.D. 1963-Jan-01 00:00:00.0000,  5.180957677441747E+07,  4.750482121790786E+06, -4.372414408390074E+06,
2438033.500000000, A.D. 1963-Jan-04 00:00:00.0000,  4.656678177408539E+07,  1.759088293243364E+07, -2.842405846638428E+06,
2438036.500000000, A.D. 1963-Jan-07 00:00:00.0000,  3.800546959592184E+07,  2.915449407765882E+07, -1.111730899526527E+06,
2438039.500000000, A.D. 1963-Jan-10 00:00:00.0000,  2.640411910299651E+07,  3.836065461731999E+07,  7.057975731156562E+05,
2438042.500000000, A.D. 1963-Jan-13 00:00:00.0000,  1.250970696261672E+07,  4.421178732332540E+07,  2.460104254764421E+06,
2438045.500000000, A.D. 1963-Jan-16 00:00:00.0000, -2.513792291238871E+06,  4.606511591316777E+07,  3.991766439854749E+06,
2438048.500000000, A.D. 1963-Jan-19 00:00:00.0000, -1.732434063044311E+07,  4.382942514780419E+07,  5.170030965652820E+06,
2438051.500000000, A.D. 1963-Jan-22 00:00:00.0000, -3.071732681713357E+07,  3.795649097379303E+07,  5.921101754584024E+06,
2438054.500000000, A.D. 1963-Jan-25 00:00:00.0000, -4.184353155081981E+07,  2.924786308795268E+07,  6.232391961672241E+06,
2438057.500000000, A.D. 1963-Jan-28 00:00:00.0000, -5.025481446505114E+07,  1.861627036022093E+07,  6.137242596259664E+06,
2438060.500000000, A.D. 1963-Jan-31 00:00:00.0000, -5.582903413177692E+07,  6.914987913843976E+06,  5.694093547412956E+06,
2438063.500000000, A.D. 1963-Feb-03 00:00:00.0000, -5.865933293463808E+07, -5.140246330459643E+06,  4.969936304851653E+06,
2438066.500000000, A.D. 1963-Feb-06 00:00:00.0000, -5.895950759432698E+07, -1.698456451541896E+07,  4.030530942007305E+06,
2438069.500000000, A.D. 1963-Feb-09 00:00:00.0000, -5.699989467987734E+07, -2.818635027204273E+07,  2.935953696640614E+06,
2438072.500000000, A.D. 1963-Feb-12 00:00:00.0000, -5.306981212440608E+07, -3.842049376863304E+07,  1.739329559764348E+06,
2438075.500000000, A.D. 1963-Feb-15 00:00:00.0000, -4.745822390344250E+07, -4.744278456978649E+07,  4.871462959133275E+05,
