

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 19:54:37 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Neptune (899)                   {source: nep102_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1963-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2438030.500000000, A.D. 1963-Jan-01 00:00:00.0000, -3.257476135911011E+09, -3.154517974055747E+09,  1.399922573176508E+08,
2438033.500000000, A.D. 1963-Jan-04 00:00:00.0000, -3.256503759806384E+09, -3.155517993713226E+09,  1.399905051630675E+08,
2438036.500000000, A.D. 1963-Jan-07 00:00:00.0000, -3.255531152549790E+09, -3.156517730388214E+09,  1.399887524232302E+08,
2438039.500000000, A.D. 1963-Jan-10 00:00:00.0000, -3.254558315534066E+09, -3.157517194145847E+09,  1.399869901875727E+08,
2438042.500000000, A.D. 1963-Jan-13 00:00:00.0000, -3.253585217921451E+09, -3.158516381828933E+09,  1.399852068747740E+08,
2438045.500000000, A.D. 1963-Jan-16 00:00:00.0000, -3.252611758533812E+09, -3.159515252544010E+09,  1.399833935202748E+08,
2438048.500000000, A.D. 1963-Jan-19 00:00:00.0000, -3.251637935005148E+09, -3.160513795953255E+09,  1.399815588100632E+08,
2438051.500000000, A.D. 1963-Jan-22 00:00:00.0000, -3.250663753130560E+09, -3.161512004599854E+09,  1.399797124513350E+08,
2438054.500000000, A.D. 1963-Jan-25 00:00:00.0000, -3.249689218778580E+09, -3.162509870961229E+09,  1.399778641622515E+08,
2438057.500000000, A.D. 1963-Jan-28 00:00:00.0000, -3.248714337899261E+09, -3.163507387489929E+09,  1.399760236694031E+08,
2438060.500000000, A.D. 1963-Jan-31 00:00:00.0000, -3.247739116512102E+09, -3.164504546643260E+09,  1.399742007043513E+08,
2438063.500000000, A.D. 1963-Feb-03 00:00:00.0000, -3.246763609757229E+09, -3.165501395142604E+09,  1.399723764450240E+08,
2438066.500000000, A.D. 1963-Feb-06 00:00:00.0000, -3.245787861227725E+09, -3.166497985676311E+09,  1.399705208782238E+08,
2438069.500000000, A.D. 1963-Feb-09 00:00:00.0000, -3.244811859681140E+09, -3.167494319680878E+09,  1.399686269505572E+08,
2438072.500000000, A.D. 1963-Feb-12 00:00:00.0000, -3.243835593893880E+09, -3.168490398610678E+09,  1.399666876082078E+08,
2438075.500000000, A.D. 1963-Feb-15 00:00:00.0000, -3.242859052657810E+09, -3.169486223934997E+09,  1.399646957969506E+08,
