

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 19:17:48 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Parker Solar Probe (spacecraft) (-96) {source: Parker_Solar_Probe}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Aug-12 08:16:23.3431 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458342.844714619, A.D. 2018-Aug-12 08:16:23.3431,  1.149856527085668E+08, -9.878723963213067E+07, -2.513826760984957E+03,
2458345.844714619, A.D. 2018-Aug-15 08:16:23.3431,  1.176691162925867E+08, -9.524309185015015E+07, -4.429624267251939E+05,
2458348.844714619, A.D. 2018-Aug-18 08:16:23.3431,  1.200587668592462E+08, -9.144523732713582E+07, -8.799083768238164E+05,
2458351.844714619, A.D. 2018-Aug-21 08:16:23.3431,  1.221367474996792E+08, -8.741020477115256E+07, -1.314501673358686E+06,
2458354.844714619, A.D. 2018-Aug-24 08:16:23.3431,  1.238921759767961E+08, -8.314610971556474E+07, -1.745629449435800E+06,
2458357.844714619, A.D. 2018-Aug-27 08:16:23.3431,  1.253151199164755E+08, -7.865873391195369E+07, -2.172043524205528E+06,
2458360.844714619, A.D. 2018-Aug-30 08:16:23.3431,  1.263931497648028E+08, -7.395480590078242E+07, -2.592458338067293E+06,
2458363.844714619, A.D. 2018-Sep-02 08:16:23.3431,  1.271124302508781E+08, -6.904084952615759E+07, -3.005484644621875E+06,
2458366.844714619, A.D. 2018-Sep-05 08:16:23.3431,  1.274574046432496E+08, -6.392353923668184E+07, -3.409634396078255E+06,
2458369.844714619, A.D. 2018-Sep-08 08:16:23.3431,  1.274105474266672E+08, -5.860979805776396E+07, -3.803286555234913E+06,
2458372.844714619, A.D. 2018-Sep-11 08:16:23.3431,  1.269521027123763E+08, -5.310683960431840E+07, -4.184635397083368E+06,
2458375.844714619, A.D. 2018-Sep-14 08:16:23.3431,  1.260596520327089E+08, -4.742248786989988E+07, -4.551661131736934E+06,
2458378.844714619, A.D. 2018-Sep-17 08:16:23.3431,  1.247076332333450E+08, -4.156545934161317E+07, -4.902074232714072E+06,
2458381.844714619, A.D. 2018-Sep-20 08:16:23.3431,  1.228667374031255E+08, -3.554575309008233E+07, -5.233248670427892E+06,
2458384.844714619, A.D. 2018-Sep-23 08:16:23.3431,  1.205031426838757E+08, -2.937516975850970E+07, -5.542134493866216E+06,
2458387.844714619, A.D. 2018-Sep-26 08:16:23.3431,  1.175775435062058E+08, -2.306803159477322E+07, -5.825142623860353E+06,
