

*******************************************************************************
Ephemeris / WWW_USER Fri May  5 12:38:34 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Pioneer 6 (spacecraft) (-6)     {source: pio6-a}
Center body name: Sun (10)                        {source: pio6-a}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1996-Jan-01 00:01:02.1840 TDB
Stop  time      : A.D. 1999-Dec-30 00:01:02.1838 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2450083.500719722, A.D. 1996-Jan-01 00:01:02.1840, -6.889139221166953E+07,  1.283104703181974E+08, -3.112279691954106E+05,
2450086.500719722, A.D. 1996-Jan-04 00:01:02.1840, -7.526294300901264E+07,  1.242525534001732E+08, -3.279068931367025E+05,
2450089.500719722, A.D. 1996-Jan-07 00:01:02.1840, -8.141560700191279E+07,  1.198333523658487E+08, -3.436321714101210E+05,
2450092.500719722, A.D. 1996-Jan-10 00:01:02.1840, -8.732955023136914E+07,  1.150628625697166E+08, -3.583498735895604E+05,
2450095.500719722, A.D. 1996-Jan-13 00:01:02.1840, -9.298517500487611E+07,  1.099520966664602E+08, -3.720075757943988E+05,
2450098.500719722, A.D. 1996-Jan-16 00:01:02.1840, -9.836316085763150E+07,  1.045131074321851E+08, -3.845545052631274E+05,
2450101.500719722, A.D. 1996-Jan-19 00:01:02.1840, -1.034445100849950E+08,  9.875901072515844E+07, -3.959416991495192E+05,
2450104.500719722, A.D. 1996-Jan-22 00:01:02.1840, -1.082105982093978E+08,  9.270400813664106E+07, -4.061221784261651E+05,
2450107.500719722, A.D. 1996-Jan-25 00:01:02.1840, -1.126432297298132E+08,  8.636340881561646E+07, -4.150511375300772E+05,
2450110.500719722, A.D. 1996-Jan-28 00:01:02.1840, -1.167246994797596E+08,  7.975364987895109E+07, -4.226861503170617E+05,
2450113.500719722, A.D. 1996-Jan-31 00:01:02.1840, -1.204378598874232E+08,  7.289231474098727E+07, -4.289873927282542E+05,
2450116.500719722, A.D. 1996-Feb-03 00:01:02.1840, -1.237661943872328E+08,  6.579814861445630E+07, -4.339178823683709E+05,
2450119.500719722, A.D. 1996-Feb-06 00:01:02.1840, -1.266938971741056E+08,  5.849107034895745E+07, -4.374437349465080E+05,
2450122.500719722, A.D. 1996-Feb-09 00:01:02.1840, -1.292059594174743E+08,  5.099217968571509E+07, -4.395344372305609E+05,
2450125.500719722, A.D. 1996-Feb-12 00:01:02.1840, -1.312882619598416E+08,  4.332375892000382E+07, -4.401631358780917E+05,
2450128.500719722, A.D. 1996-Feb-15 00:01:02.1840, -1.329276744120998E+08,  3.550926787852053E+07, -4.393069409023076E+05,
