

*******************************************************************************
Ephemeris / WWW_USER Fri May  5 12:40:39 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Pioneer 8 (spacecraft) (-20)    {source: pioneer8-seti}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1997-Jul-01 00:01:03.1842 TDB
Stop  time      : A.D. 1999-Dec-30 23:59:03.1838 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2450630.500731299, A.D. 1997-Jul-01 00:01:03.1842,  1.339404026014053E+08,  6.826695794764791E+07, -1.283667981649823E+05,
2450633.500731299, A.D. 1997-Jul-04 00:01:03.1842,  1.299971770165174E+08,  7.503561137211822E+07, -1.243749169861786E+05,
2450636.500731299, A.D. 1997-Jul-07 00:01:03.1842,  1.257112875134846E+08,  8.160645476432848E+07, -1.200554005017579E+05,
2450639.500731299, A.D. 1997-Jul-10 00:01:03.1842,  1.210925562216484E+08,  8.796121114404976E+07, -1.154182115136236E+05,
2450642.500731299, A.D. 1997-Jul-13 00:01:03.1842,  1.161518731754853E+08,  9.408208373685691E+07, -1.104743348085955E+05,
2450645.500731299, A.D. 1997-Jul-16 00:01:03.1842,  1.109011740883097E+08,  9.995182779336613E+07, -1.052357557130083E+05,
2450648.500731299, A.D. 1997-Jul-19 00:01:03.1842,  1.053534123647136E+08,  1.055538215828652E+08, -9.971543214336038E+04,
2450651.500731299, A.D. 1997-Jul-22 00:01:03.1842,  9.952252534490515E+07,  1.108721360055250E+08, -9.392726050829142E+04,
2450654.500731299, A.D. 1997-Jul-25 00:01:03.1842,  9.342339483689123E+07,  1.158916022602732E+08, -8.788603581654280E+04,
2450657.500731299, A.D. 1997-Jul-28 00:01:03.1842,  8.707180205629791E+07,  1.205978770054691E+08, -8.160740629368275E+04,
2450660.500731299, A.D. 1997-Jul-31 00:01:03.1842,  8.048437715809669E+07,  1.249775044572410E+08, -7.510782279051840E+04,
2450663.500731299, A.D. 1997-Aug-03 00:01:03.1842,  7.367854360877489E+07,  1.290179748862661E+08, -6.840448327740282E+04,
2450666.500731299, A.D. 1997-Aug-06 00:01:03.1842,  6.667245771030627E+07,  1.327077789981286E+08, -6.151527275522053E+04,
2450669.500731299, A.D. 1997-Aug-09 00:01:03.1842,  5.948494364735573E+07,  1.360364577151119E+08, -5.445869895949960E+04,
2450672.500731299, A.D. 1997-Aug-12 00:01:03.1842,  5.213542448518120E+07,  1.389946469180278E+08, -4.725382428391278E+04,
2450675.500731299, A.D. 1997-Aug-15 00:01:03.1842,  4.464384959633677E+07,  1.415741167550747E+08, -3.992019436910748E+04,
