

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 19:53:40 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Saturn (699)                    {source: sat441l}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1963-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2438030.500000000, A.D. 1963-Jan-01 00:00:00.0000,  1.018574973568924E+09, -1.080556103860903E+09, -2.155105939329708E+07,
2438033.500000000, A.D. 1963-Jan-04 00:00:00.0000,  1.020257305086607E+09, -1.078839546340289E+09, -2.164776123413181E+07,
2438036.500000000, A.D. 1963-Jan-07 00:00:00.0000,  1.021937194205254E+09, -1.077119994995917E+09, -2.174446212396723E+07,
2438039.500000000, A.D. 1963-Jan-10 00:00:00.0000,  1.023614349114488E+09, -1.075397189863372E+09, -2.184127086623669E+07,
2438042.500000000, A.D. 1963-Jan-13 00:00:00.0000,  1.025288424242876E+09, -1.073671261638250E+09, -2.193808882407910E+07,
2438045.500000000, A.D. 1963-Jan-16 00:00:00.0000,  1.026959377011009E+09, -1.071942549281140E+09, -2.203473908734423E+07,
2438048.500000000, A.D. 1963-Jan-19 00:00:00.0000,  1.028627574642010E+09, -1.070211229252552E+09, -2.213116837701714E+07,
2438051.500000000, A.D. 1963-Jan-22 00:00:00.0000,  1.030293320391321E+09, -1.068477062640972E+09, -2.222753170084810E+07,
2438054.500000000, A.D. 1963-Jan-25 00:00:00.0000,  1.031956423814093E+09, -1.066739714533504E+09, -2.232398605348712E+07,
2438057.500000000, A.D. 1963-Jan-28 00:00:00.0000,  1.033616505630740E+09, -1.064999182903329E+09, -2.242049818029845E+07,
2438060.500000000, A.D. 1963-Jan-31 00:00:00.0000,  1.035273412945227E+09, -1.063255778566914E+09, -2.251689491149563E+07,
2438063.500000000, A.D. 1963-Feb-03 00:00:00.0000,  1.036927395244308E+09, -1.061509782128066E+09, -2.261305752391839E+07,
2438066.500000000, A.D. 1963-Feb-06 00:00:00.0000,  1.038578846351729E+09, -1.059761066743616E+09, -2.270909207435924E+07,
2438069.500000000, A.D. 1963-Feb-09 00:00:00.0000,  1.040227743072395E+09, -1.058009272368940E+09, -2.280518469743538E+07,
2438072.500000000, A.D. 1963-Feb-12 00:00:00.0000,  1.041873698355169E+09, -1.056254280376290E+09, -2.290136157359368E+07,
2438075.500000000, A.D. 1963-Feb-15 00:00:00.0000,  1.043516456037124E+09, -1.054496315142186E+09, -2.299748450365347E+07,
