

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 19:18:36 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Spitzer Space Telescope (-79)   {source: SPITZER_merge_2003-2120}
Center body name: Sun (10)                        {source: SPITZER_merge_2003-2120}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2003-Aug-25 06:26:43.1830 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2452876.768555359, A.D. 2003-Aug-25 06:26:43.1830,  1.330435455222100E+08, -7.188874569755417E+07, -2.206190452203155E+03,
2452879.768555359, A.D. 2003-Aug-28 06:26:43.1830,  1.366532986155093E+08, -6.526603040091681E+07,  3.907696756764948E+05,
2452882.768555359, A.D. 2003-Aug-31 06:26:43.1830,  1.398507845915923E+08, -5.837097281459164E+07,  6.298454980725087E+05,
2452885.768555359, A.D. 2003-Sep-03 06:26:43.1830,  1.426696275773241E+08, -5.130797215309160E+07,  8.356147345700860E+05,
2452888.768555359, A.D. 2003-Sep-06 06:26:43.1830,  1.451121425568928E+08, -4.410425694059248E+07,  1.022516199484266E+06,
2452891.768555359, A.D. 2003-Sep-09 06:26:43.1830,  1.471762591901104E+08, -3.678181978607098E+07,  1.196016998635905E+06,
2452894.768555359, A.D. 2003-Sep-12 06:26:43.1830,  1.488590399908153E+08, -2.936121273725121E+07,  1.358812863638375E+06,
2452897.768555359, A.D. 2003-Sep-15 06:26:43.1830,  1.501576381009368E+08, -2.186247684283261E+07,  1.512394633398280E+06,
2452900.768555359, A.D. 2003-Sep-18 06:26:43.1830,  1.510696893284405E+08, -1.430546070623859E+07,  1.657623843810170E+06,
2452903.768555359, A.D. 2003-Sep-21 06:26:43.1830,  1.515935023157561E+08, -6.709932630819979E+06,  1.795006736048439E+06,
2452906.768555359, A.D. 2003-Sep-24 06:26:43.1830,  1.517281595424014E+08,  9.043800413651058E+05,  1.924834207629643E+06,
2452909.768555359, A.D. 2003-Sep-27 06:26:43.1830,  1.514735770271738E+08,  8.517785016135424E+06,  2.047261002191909E+06,
2452912.768555359, A.D. 2003-Sep-30 06:26:43.1830,  1.508305391593160E+08,  1.611063960632436E+07,  2.162352774640137E+06,
2452915.768555359, A.D. 2003-Oct-03 06:26:43.1830,  1.498007432612820E+08,  2.366336201345014E+07,  2.270145117401975E+06,
2452918.768555359, A.D. 2003-Oct-06 06:26:43.1830,  1.483867227627822E+08,  3.115652514417731E+07,  2.370549471357677E+06,
