

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 19:20:12 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Ulysses (spacecraft) (-55)      {source: ulysses}
Center body name: Sun (10)                        {source: ulysses}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1990-Oct-06 19:05:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2448171.295138889, A.D. 1990-Oct-06 19:05:00.0000,  1.454712281702701E+08,  3.465503993602826E+07,  1.264700572378933E+01,
2448174.295138889, A.D. 1990-Oct-09 19:05:00.0000,  1.421700106959110E+08,  4.475758480715007E+07,  3.705882703051548E+05,
2448177.295138889, A.D. 1990-Oct-12 19:05:00.0000,  1.384910964562174E+08,  5.472473081853664E+07,  7.384398866606653E+05,
2448180.295138889, A.D. 1990-Oct-15 19:05:00.0000,  1.344383662375130E+08,  6.454369276453520E+07,  1.104170899457060E+06,
2448183.295138889, A.D. 1990-Oct-18 19:05:00.0000,  1.300123792172616E+08,  7.418331137766817E+07,  1.466639735486966E+06,
2448186.295138889, A.D. 1990-Oct-21 19:05:00.0000,  1.252322599121741E+08,  8.362697403967139E+07,  1.825773324517123E+06,
2448189.295138889, A.D. 1990-Oct-24 19:05:00.0000,  1.201270638805910E+08,  9.285357425741035E+07,  2.180158652792327E+06,
2448192.295138889, A.D. 1990-Oct-27 19:05:00.0000,  1.147161259832530E+08,  1.018438726412043E+08,  2.528985544159889E+06,
2448195.295138889, A.D. 1990-Oct-30 19:05:00.0000,  1.090220721976457E+08,  1.105829325427137E+08,  2.871568027214937E+06,
2448198.295138889, A.D. 1990-Nov-02 19:05:00.0000,  1.030686248378008E+08,  1.190590469311522E+08,  3.207318531419598E+06,
2448201.295138889, A.D. 1990-Nov-05 19:05:00.0000,  9.687924399750330E+07,  1.272633857463869E+08,  3.535689813080862E+06,
2448204.295138889, A.D. 1990-Nov-08 19:05:00.0000,  9.047886790203464E+07,  1.351908020133602E+08,  3.856379592114113E+06,
2448207.295138889, A.D. 1990-Nov-11 19:05:00.0000,  8.389118265506847E+07,  1.428386303712825E+08,  4.169091405585468E+06,
2448210.295138889, A.D. 1990-Nov-14 19:05:00.0000,  7.713898115074183E+07,  1.502067023821756E+08,  4.473602901591755E+06,
2448213.295138889, A.D. 1990-Nov-17 19:05:00.0000,  7.024398205209193E+07,  1.572970380736466E+08,  4.769869206782691E+06,
2448216.295138889, A.D. 1990-Nov-20 19:05:00.0000,  6.322649426641408E+07,  1.641134667828372E+08,  5.057828319066860E+06,
