

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 19:54:08 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura116}
Center body name: Sun (10)                        {source: ura116}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1963-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2438030.500000000, A.D. 1963-Jan-01 00:00:00.0000, -2.443434871560043E+09,  1.239902916154541E+09,  3.632418668513542E+07,
2438033.500000000, A.D. 1963-Jan-04 00:00:00.0000, -2.444245417716758E+09,  1.238249815243517E+09,  3.632852912004811E+07,
2438036.500000000, A.D. 1963-Jan-07 00:00:00.0000, -2.445054895142304E+09,  1.236596169595693E+09,  3.633283197381133E+07,
2438039.500000000, A.D. 1963-Jan-10 00:00:00.0000, -2.445863349372715E+09,  1.234941995366024E+09,  3.633713315465945E+07,
2438042.500000000, A.D. 1963-Jan-13 00:00:00.0000, -2.446670727740798E+09,  1.233287276275033E+09,  3.634139416468853E+07,
2438045.500000000, A.D. 1963-Jan-16 00:00:00.0000, -2.447477100804132E+09,  1.231632026860306E+09,  3.634560361863190E+07,
2438048.500000000, A.D. 1963-Jan-19 00:00:00.0000, -2.448282448857283E+09,  1.229976261168296E+09,  3.634988403380466E+07,
2438051.500000000, A.D. 1963-Jan-22 00:00:00.0000, -2.449086668434109E+09,  1.228319945286349E+09,  3.635414760012788E+07,
2438054.500000000, A.D. 1963-Jan-25 00:00:00.0000, -2.449889858220820E+09,  1.226663089342359E+09,  3.635830583102930E+07,
2438057.500000000, A.D. 1963-Jan-28 00:00:00.0000, -2.450692046715944E+09,  1.225005719029027E+09,  3.636248913022995E+07,
2438060.500000000, A.D. 1963-Jan-31 00:00:00.0000, -2.451493158318573E+09,  1.223347817273158E+09,  3.636668639856368E+07,
2438063.500000000, A.D. 1963-Feb-03 00:00:00.0000, -2.452293233182803E+09,  1.221689386831109E+09,  3.637084709767824E+07,
2438066.500000000, A.D. 1963-Feb-06 00:00:00.0000, -2.453092230457586E+09,  1.220030426396578E+09,  3.637501759531599E+07,
2438069.500000000, A.D. 1963-Feb-09 00:00:00.0000, -2.453890143517533E+09,  1.218370925648083E+09,  3.637912883485317E+07,
2438072.500000000, A.D. 1963-Feb-12 00:00:00.0000, -2.454687091987580E+09,  1.216710915175351E+09,  3.638320553866494E+07,
2438075.500000000, A.D. 1963-Feb-15 00:00:00.0000, -2.455482982630734E+09,  1.215050389549438E+09,  3.638734642439711E+07,
