

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 19:51:02 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Venus (299)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1963-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2438030.500000000, A.D. 1963-Jan-01 00:00:00.0000, -6.888167334251602E+07,  8.234333708366466E+07,  5.095056467608221E+06,
2438033.500000000, A.D. 1963-Jan-04 00:00:00.0000, -7.562048745157522E+07,  7.618153381583206E+07,  5.400647554689012E+06,
2438036.500000000, A.D. 1963-Jan-07 00:00:00.0000, -8.181653668345882E+07,  6.947293806046867E+07,  5.667475210168410E+06,
2438039.500000000, A.D. 1963-Jan-10 00:00:00.0000, -8.742544936105184E+07,  6.226578364272644E+07,  5.893631194723915E+06,
2438042.500000000, A.D. 1963-Jan-13 00:00:00.0000, -9.240717172720531E+07,  5.461192963777114E+07,  6.077505818017967E+06,
2438045.500000000, A.D. 1963-Jan-16 00:00:00.0000, -9.672626696458890E+07,  4.656646187618200E+07,  6.217799804900428E+06,
2438048.500000000, A.D. 1963-Jan-19 00:00:00.0000, -1.003521757499054E+08,  3.818726931572561E+07,  6.313533599561647E+06,
2438051.500000000, A.D. 1963-Jan-22 00:00:00.0000, -1.032594361725360E+08,  2.953459931612609E+07,  6.364054034870053E+06,
2438054.500000000, A.D. 1963-Jan-25 00:00:00.0000, -1.054278613172927E+08,  2.067059606273534E+07,  6.369038325338126E+06,
2438057.500000000, A.D. 1963-Jan-28 00:00:00.0000, -1.068426733226408E+08,  1.165882652382039E+07,  6.328495375333503E+06,
2438060.500000000, A.D. 1963-Jan-31 00:00:00.0000, -1.074945932472087E+08,  2.563798376404026E+06,  6.242764425278832E+06,
2438063.500000000, A.D. 1963-Feb-03 00:00:00.0000, -1.073798865768569E+08, -6.549525686403619E+06,  6.112511086804625E+06,
2438066.500000000, A.D. 1963-Feb-06 00:00:00.0000, -1.065003646719514E+08, -1.561621293019887E+07,  5.938720844329725E+06,
2438069.500000000, A.D. 1963-Feb-09 00:00:00.0000, -1.048633428929049E+08, -2.457184063280711E+07,  5.722690124492667E+06,
2438072.500000000, A.D. 1963-Feb-12 00:00:00.0000, -1.024815565628141E+08, -3.335296720398021E+07,  5.466015054697934E+06,
2438075.500000000, A.D. 1963-Feb-15 00:00:00.0000, -9.937303632792889E+07, -4.189759058925109E+07,  5.170578049763205E+06,
