

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 09:39:25 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 1 (spacecraft) (-31)    {source: Voyager_1_ST+refit2022_m}
Center body name: Sun (10)                        {source: Voyager_1_ST+refit2022_m}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Sep-05 13:59:24.3830 TDB
Stop  time      : A.D. 2018-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2443392.082921099, A.D. 1977-Sep-05 13:59:24.3830,  1.443740652817740E+08, -4.358343015979504E+07, -1.399341706076637E+03,
2443395.082921099, A.D. 1977-Sep-08 13:59:24.3830,  1.472361505723551E+08, -3.366714551078818E+07,  1.867030745881442E+05,
2443398.082921099, A.D. 1977-Sep-11 13:59:24.3830,  1.497083546485166E+08, -2.368041294727882E+07,  3.728970949463062E+05,
2443401.082921099, A.D. 1977-Sep-14 13:59:24.3830,  1.517983801107790E+08, -1.363326968281594E+07,  5.579752321157679E+05,
2443404.082921099, A.D. 1977-Sep-17 13:59:24.3830,  1.535081835104581E+08, -3.550941912388862E+06,  7.414860040121635E+05,
2443407.082921099, A.D. 1977-Sep-20 13:59:24.3830,  1.548400853562170E+08,  6.539995791915407E+06,  9.231561242947639E+05,
2443410.082921099, A.D. 1977-Sep-23 13:59:24.3830,  1.558012666056283E+08,  1.661525048160529E+07,  1.102607253886244E+06,
2443413.082921099, A.D. 1977-Sep-26 13:59:24.3830,  1.564014785595070E+08,  2.665204686935347E+07,  1.279498595709831E+06,
2443416.082921099, A.D. 1977-Sep-29 13:59:24.3830,  1.566526591864861E+08,  3.662944187575111E+07,  1.453531515951460E+06,
2443419.082921099, A.D. 1977-Oct-02 13:59:24.3830,  1.565685190855853E+08,  4.652853307266551E+07,  1.624451466253635E+06,
2443422.082921099, A.D. 1977-Oct-05 13:59:24.3830,  1.561641240123298E+08,  5.633257290118933E+07,  1.792047999525893E+06,
2443425.082921099, A.D. 1977-Oct-08 13:59:24.3830,  1.554554947506621E+08,  6.602700055796245E+07,  1.956153341395091E+06,
2443428.082921099, A.D. 1977-Oct-11 13:59:24.3830,  1.544592395032925E+08,  7.559940526728147E+07,  2.116639892719630E+06,
2443431.082921099, A.D. 1977-Oct-14 13:59:24.3830,  1.531922286368771E+08,  8.503943564806169E+07,  2.273416995118253E+06,
2443434.082921099, A.D. 1977-Oct-17 13:59:24.3830,  1.516713168896306E+08,  9.433866968472904E+07,  2.426427249349408E+06,
