

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 09:42:01 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2_ST+refit2022_m}
Center body name: Sun (10)                        {source: Voyager_2_ST+refit2022_m}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-20 15:32:32.1830 TDB
Stop  time      : A.D. 2018-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2443376.147594711, A.D. 1977-Aug-20 15:32:32.1830,  1.280860880954407E+08, -8.063043539493687E+07, -1.355532101832330E+03,
2443379.147594711, A.D. 1977-Aug-23 15:32:32.1830,  1.325247686257840E+08, -7.159420387638231E+07,  8.497078672369868E+05,
2443382.147594711, A.D. 1977-Aug-26 15:32:32.1830,  1.366112230844633E+08, -6.238809788700755E+07,  1.691877028918169E+06,
2443385.147594711, A.D. 1977-Aug-29 15:32:32.1830,  1.403381292156931E+08, -5.301897198340842E+07,  2.529234775652338E+06,
2443388.147594711, A.D. 1977-Sep-01 15:32:32.1830,  1.436947316827931E+08, -4.351041711589266E+07,  3.359772178384736E+06,
2443391.147594711, A.D. 1977-Sep-04 15:32:32.1830,  1.466732486494720E+08, -3.388760918494283E+07,  4.181390678414544E+06,
2443394.147594711, A.D. 1977-Sep-07 15:32:32.1830,  1.492690823972228E+08, -2.417649686892311E+07,  4.992051917814733E+06,
2443397.147594711, A.D. 1977-Sep-10 15:32:32.1830,  1.514808557295688E+08, -1.440321870379715E+07,  5.789838509999800E+06,
2443400.147594711, A.D. 1977-Sep-13 15:32:32.1830,  1.533103278639537E+08, -4.593579514116439E+06,  6.572993293733903E+06,
2443403.147594711, A.D. 1977-Sep-16 15:32:32.1830,  1.547622089909121E+08,  5.227420244096491E+06,  7.339946892290966E+06,
2443406.147594711, A.D. 1977-Sep-19 15:32:32.1830,  1.558438924585375E+08,  1.503598996787161E+07,  8.089335692823230E+06,
2443409.147594711, A.D. 1977-Sep-22 15:32:32.1830,  1.565651263070179E+08,  2.480987795416889E+07,  8.820011120947067E+06,
2443412.147594711, A.D. 1977-Sep-25 15:32:32.1830,  1.569376470071003E+08,  3.452861801614654E+07,  9.531041084401490E+06,
2443415.147594711, A.D. 1977-Sep-28 15:32:32.1830,  1.569747973674819E+08,  4.417369356800373E+07,  1.022170468594179E+07,
2443418.147594711, A.D. 1977-Oct-01 15:32:32.1830,  1.566911479993452E+08,  5.372862424374750E+07,  1.089148149386320E+07,
