

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 13:41:08 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: WISE (spacecraft) (-163)        {source: WISE_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2009-Dec-14 15:01:06.1840 TDB
Stop  time      : A.D. 2018-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2455180.125766018, A.D. 2009-Dec-14 15:01:06.1840,  1.892680742363119E+07,  1.460356696799144E+08, -6.384106696180999E+03,
2455183.125766018, A.D. 2009-Dec-17 15:01:06.1840,  1.111259066792192E+07,  1.467986607616042E+08,  3.359402610413730E+03,
2455186.125766018, A.D. 2009-Dec-20 15:01:06.1840,  3.267396975179582E+06,  1.471432102021152E+08, -7.145748849444091E+03,
2455189.125766018, A.D. 2009-Dec-23 15:01:06.1840, -4.567637432175349E+06,  1.470773464006324E+08, -6.638667984157801E+03,
2455192.125766018, A.D. 2009-Dec-26 15:01:06.1840, -1.240694975830333E+07,  1.466025407103479E+08,  2.870635832227767E+03,
2455195.125766018, A.D. 2009-Dec-29 15:01:06.1840, -2.020731087266554E+07,  1.457121278273892E+08, -7.559300491452217E+03,
2455198.125766018, A.D. 2010-Jan-01 15:01:06.1840, -2.793384265512371E+07,  1.444213849863298E+08, -5.658071966685355E+03,
2455201.125766018, A.D. 2010-Jan-04 15:01:06.1840, -3.560287498008747E+07,  1.427276412293521E+08,  3.698117374777794E+03,
2455204.125766018, A.D. 2010-Jan-07 15:01:06.1840, -4.316950322881498E+07,  1.406298834272683E+08, -7.083285729497671E+03,
2455207.125766018, A.D. 2010-Jan-10 15:01:06.1840, -5.060306005815677E+07,  1.381456845687442E+08, -4.605799756601453E+03,
2455210.125766018, A.D. 2010-Jan-13 15:01:06.1840, -5.791587677147538E+07,  1.352684328239001E+08,  3.674211999408901E+03,
2455213.125766018, A.D. 2010-Jan-16 15:01:06.1840, -6.505942022904154E+07,  1.320073863400810E+08, -7.839995252437890E+03,
2455216.125766018, A.D. 2010-Jan-19 15:01:06.1840, -7.200812566186965E+07,  1.283854422329799E+08, -4.465691989429295E+03,
2455219.125766018, A.D. 2010-Jan-22 15:01:06.1840, -7.877269306597377E+07,  1.243957719714818E+08,  3.273159117177129E+03,
2455222.125766018, A.D. 2010-Jan-25 15:01:06.1840, -8.530658385275887E+07,  1.200588516427197E+08, -8.128354425936937E+03,
2455225.125766018, A.D. 2010-Jan-28 15:01:06.1840, -9.159268148030791E+07,  1.153994239656640E+08, -3.108273596450686E+03,
