

*******************************************************************************
Ephemeris / WWW_USER Thu May  4 19:24:09 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Wind (spacecraft) (-8)          {source: Wind_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2019-Oct-08 00:01:09.1824 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 4320 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2458764.500800722, A.D. 2019-Oct-08 00:01:09.1824,  1.434498364483128E+08,  3.684338466437408E+07,  4.042978017624468E+04,
2458767.500800722, A.D. 2019-Oct-11 00:01:09.1824,  1.412536845160653E+08,  4.417166285967872E+07,  3.666480840327591E+04,
2458770.500800722, A.D. 2019-Oct-14 00:01:09.1824,  1.386806841050049E+08,  5.137688196957251E+07,  3.250114096865430E+04,
2458773.500800722, A.D. 2019-Oct-17 00:01:09.1824,  1.357375250427437E+08,  5.843949899962562E+07,  2.796609377612174E+04,
2458776.500800722, A.D. 2019-Oct-20 00:01:09.1824,  1.324319439839644E+08,  6.534038429684642E+07,  2.309299954095483E+04,
2458779.500800722, A.D. 2019-Oct-23 00:01:09.1824,  1.287727101801009E+08,  7.206090079920170E+07,  1.792091367002577E+04,
2458782.500800722, A.D. 2019-Oct-26 00:01:09.1824,  1.247696126021475E+08,  7.858296677411534E+07,  1.249648358633369E+04,
2458785.500800722, A.D. 2019-Oct-29 00:01:09.1824,  1.204334051381228E+08,  8.488909213961940E+07,  6.876466860119253E+03,
2458788.500800722, A.D. 2019-Nov-01 00:01:09.1824,  1.157756779149655E+08,  9.096243632188012E+07,  1.122734113320708E+03,
2458791.500800722, A.D. 2019-Nov-04 00:01:09.1824,  1.108088082142554E+08,  9.678690722002847E+07, -4.696260237738490E+03,
2458794.500800722, A.D. 2019-Nov-07 00:01:09.1824,  1.055459411767682E+08,  1.023471903886643E+08, -1.050165563192219E+04,
2458797.500800722, A.D. 2019-Nov-10 00:01:09.1824,  1.000009031518503E+08,  1.076287389557458E+08, -1.620538298151642E+04,
2458800.500800722, A.D. 2019-Nov-13 00:01:09.1824,  9.418810853142093E+07,  1.126177522377647E+08, -2.171435937942564E+04,
2458803.500800722, A.D. 2019-Nov-16 00:01:09.1824,  8.812248322748274E+07,  1.173011486190654E+08, -2.694063328331709E+04,
2458806.500800722, A.D. 2019-Nov-19 00:01:09.1824,  8.181942231196104E+07,  1.216665273696119E+08, -3.179491892699152E+04,
2458809.500800722, A.D. 2019-Nov-22 00:01:09.1824,  7.529478577321671E+07,  1.257021045655480E+08, -3.619928078760207E+04,
